ano,delito,total,pct_extran_raw,poblacion_total,pct_extran,num_extranjeros,tasa_100k,num_extranjeros_miles
2010,Agresiones sexuales (total),7059,0.11498059499962664,46562483,0.11498059499962664,5353782,15.160273991402049,5353.782
2011,Agresiones sexuales (total),7366,0.1127488236809379,46736257,0.1127488236809379,5269458,15.7607828970985,5269.458
2012,Agresiones sexuales (total),6732,0.109877167580445,46749303,0.109877167580445,5136681,14.400214694109986,5136.681
2013,Agresiones sexuales (total),6543,0.10439185623773269,46581124,0.10439185623773269,4862690,14.046462253680268,4862.69
2014,Agresiones sexuales (total),6772,0.09737421944067856,46433050,0.09737421944067856,4521382,14.584439316392096,4521.382
2015,Agresiones sexuales (total),7006,0.09516925946125096,46384379,0.09516925946125096,4414367,15.10422291090714,4414.367
2016,Agresiones sexuales (total),8026,0.09446665848179188,46427100,0.09446665848179188,4385813,17.28731710574212,4385.813
2017,Agresiones sexuales (total),8716,0.0956945578329142,46510461,0.0956945578329142,4450798,18.73987015523239,4450.798
2018,Agresiones sexuales (total),10727,0.10003026198029888,46715383,0.10003026198029888,4672952.000000001,22.962457569918673,4672.952000000001
2019,Agresiones sexuales (total),11964,0.1068990981056698,47087778,0.1068990981056698,5033641,25.407866984082368,5033.641
2020,Agresiones sexuales (total),10061,0.11289890609437324,47344852,0.11289890609437324,5345181.999999999,21.25046245788243,5345.181999999999
2021,Agresiones sexuales (total),13856,0.1133912094991944,47346836,0.1133912094991944,5368714.999999999,29.26489111120329,5368.714999999999
2022,Agresiones sexuales (total),15696,0.12111446234863918,47781354,0.12111446234863918,5787013,32.84963418993945,5787.013
2023,Agresiones sexuales (total),17617,0.13008059515915807,48320520,0.13008059515915807,6285562.000000001,36.45863082599276,6285.562000000001
2010,Homicidios dolosos y asesinatos consumados,401,0.11498059499962664,46562483,0.11498059499962664,5353782,0.8612083681190283,5353.782
2011,Homicidios dolosos y asesinatos consumados,385,0.1127488236809379,46736257,0.1127488236809379,5269458,0.8237715741763402,5269.458
2012,Homicidios dolosos y asesinatos consumados,364,0.109877167580445,46749303,0.109877167580445,5136681,0.7786212342032137,5136.681
2013,Homicidios dolosos y asesinatos consumados,302,0.10439185623773269,46581124,0.10439185623773269,4862690,0.6483312854365644,4862.69
2014,Homicidios dolosos y asesinatos consumados,323,0.09737421944067856,46433050,0.09737421944067856,4521382,0.695625206614685,4521.382
2015,Homicidios dolosos y asesinatos consumados,302,0.09516925946125096,46384379,0.09516925946125096,4414367,0.6510812616462969,4414.367
2016,Homicidios dolosos y asesinatos consumados,294,0.09446665848179188,46427100,0.09446665848179188,4385813,0.6332508384111866,4385.813
2017,Homicidios dolosos y asesinatos consumados,307,0.0956945578329142,46510461,0.0956945578329142,4450798,0.6600665600798926,4450.798
2018,Homicidios dolosos y asesinatos consumados,289,0.10003026198029888,46715383,0.10003026198029888,4672952.000000001,0.6186399028345759,4672.952000000001
2019,Homicidios dolosos y asesinatos consumados,331,0.1068990981056698,47087778,0.1068990981056698,5033641,0.7029424917862975,5033.641
2020,Homicidios dolosos y asesinatos consumados,298,0.11289890609437324,47344852,0.11289890609437324,5345181.999999999,0.6294242930572472,5345.181999999999
2021,Homicidios dolosos y asesinatos consumados,293,0.1133912094991944,47346836,0.1133912094991944,5368714.999999999,0.6188375502008202,5368.714999999999
2022,Homicidios dolosos y asesinatos consumados,326,0.12111446234863918,47781354,0.12111446234863918,5787013,0.6822745123547567,5787.013
2023,Homicidios dolosos y asesinatos consumados,333,0.13008059515915807,48320520,0.13008059515915807,6285562.000000001,0.6891482128089681,6285.562000000001
2010,Lesiones graves,113067,0.11498059499962664,46562483,0.11498059499962664,5353782,242.8285450327037,5353.782
2011,Lesiones graves,112824,0.1127488236809379,46736257,0.1127488236809379,5269458,241.4057248957699,5269.458
2012,Lesiones graves,105913,0.109877167580445,46749303,0.109877167580445,5136681,226.55524939056312,5136.681
2013,Lesiones graves,100193,0.10439185623773269,46581124,0.10439185623773269,4862690,215.09356450909172,4862.69
