ano,edad_bin,activos
2010,16-19,1818.325
2010,20-24,2594.85
2010,25-29,3292.875
2011,16-19,1787.575
2011,20-24,2519.2
2011,25-29,3127.1
2012,16-19,1754.5
2012,20-24,2456.575
2012,25-29,2964.325
2013,16-19,1721.675
2013,20-24,2390.3
2013,25-29,2803.15
2014,16-19,1709.8
2014,20-24,2329.975
2014,25-29,2673.05
2015,16-19,1720.325
2015,20-24,2287.3500000000004
2015,25-29,2588.525
2016,16-19,1745.25
2016,20-24,2251.175
2016,25-29,2515.9
2017,16-19,1779.4
2017,20-24,2238.325
2017,25-29,2486.65
2018,16-19,1821.95
2018,20-24,2256
2018,25-29,2496.95
2019,16-19,1875.525
2019,20-24,2301.6
2019,25-29,2515.025
2020,16-19,1920.075
2020,20-24,2358.925
2020,25-29,2521.575
2021,16-19,1920.125
2021,20-24,2372.875
2021,25-29,2508.15
2022,16-19,1983.95
2022,20-24,2440.225
2022,25-29,2527.8
2023,16-19,2031.95
2023,20-24,2538.2
2023,25-29,2585.575
