sexo,edad,tasa_de_riesgo_de_pobreza_o_exclusion_social_y_sus_componentes,periodo,total
Ambos sexos,Total,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2023,269
Ambos sexos,Total,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2022,263
Ambos sexos,Total,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2021,276
Ambos sexos,Total,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2020,264
Ambos sexos,Total,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2019,253
Ambos sexos,Total,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2018,261
Ambos sexos,Total,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2017,266
Ambos sexos,Total,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2016,279
Ambos sexos,Total,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2015,286
Ambos sexos,Total,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2014,292
Ambos sexos,Total,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2013,273
Ambos sexos,Total,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2012,272
Ambos sexos,Total,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2011,267
Ambos sexos,Total,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2010,261
Ambos sexos,Total,En riesgo de pobreza (renta año anterior a la entrevista),2023,202
Ambos sexos,Total,En riesgo de pobreza (renta año anterior a la entrevista),2022,204
Ambos sexos,Total,En riesgo de pobreza (renta año anterior a la entrevista),2021,217
Ambos sexos,Total,En riesgo de pobreza (renta año anterior a la entrevista),2020,210
Ambos sexos,Total,En riesgo de pobreza (renta año anterior a la entrevista),2019,207
Ambos sexos,Total,En riesgo de pobreza (renta año anterior a la entrevista),2018,215
Ambos sexos,Total,En riesgo de pobreza (renta año anterior a la entrevista),2017,216
Ambos sexos,Total,En riesgo de pobreza (renta año anterior a la entrevista),2016,223
Ambos sexos,Total,En riesgo de pobreza (renta año anterior a la entrevista),2015,221
Ambos sexos,Total,En riesgo de pobreza (renta año anterior a la entrevista),2014,222
Ambos sexos,Total,En riesgo de pobreza (renta año anterior a la entrevista),2013,204
Ambos sexos,Total,En riesgo de pobreza (renta año anterior a la entrevista),2012,208
Ambos sexos,Total,En riesgo de pobreza (renta año anterior a la entrevista),2011,206
Ambos sexos,Total,En riesgo de pobreza (renta año anterior a la entrevista),2010,207
Ambos sexos,Total,Con carencia material severa,2023,89
Ambos sexos,Total,Con carencia material severa,2022,81
Ambos sexos,Total,Con carencia material severa,2021,73
Ambos sexos,Total,Con carencia material severa,2020,70
Ambos sexos,Total,Con carencia material severa,2019,47
Ambos sexos,Total,Con carencia material severa,2018,54
Ambos sexos,Total,Con carencia material severa,2017,51
Ambos sexos,Total,Con carencia material severa,2016,58
Ambos sexos,Total,Con carencia material severa,2015,64
Ambos sexos,Total,Con carencia material severa,2014,71
Ambos sexos,Total,Con carencia material severa,2013,62
Ambos sexos,Total,Con carencia material severa,2012,58
Ambos sexos,Total,Con carencia material severa,2011,45
Ambos sexos,Total,Con carencia material severa,2010,49
Ambos sexos,Total,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2023,85
Ambos sexos,Total,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2022,87
Ambos sexos,Total,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2021,117
Ambos sexos,Total,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2020,99
Ambos sexos,Total,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2019,108
Ambos sexos,Total,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2018,107
Ambos sexos,Total,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2017,128
Ambos sexos,Total,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2016,149
