ano,tasa_hc_100k,tasa_he_100k,share_extranjeros,pct_extranjeros,paro_joven,arope,poblacion_total,hc_total,he_total,det_tot,det_ext,pib_pc_real_yoy,pib_pc_real_idx2010,pib_pc_real_z,pib_pc_real
2010,15272.495240427792,4610.6003410513995,20.129386492540963,0.11498059499962664,37.447825977640946,26.1,46562483,7111253,2146810,1043231,209996,NA,100,-0.48540920117753766,24510
2011,15140.134136116209,4647.909651814864,19.02000222198816,0.1127488236809379,40.88814006826856,26.7,46736257,7075932,2172259,1386146,263645,-0.01019991840065281,98.98000815993473,-0.6692763228356959,24260
2012,15088.143667083124,4612.229191951803,18.39593638776067,0.109877167580445,47.5012226583187,27.2,46749303,7053602,2156185,1369422,251918,-0.02885408079142626,96.12403100775194,-1.1841042634785388,23560
2013,14475.483674460069,4693.663038272756,17.899620214809563,0.10439185623773269,49.817603613456015,27.3,46581124,6742843,2186361,1359716,243384,-0.01061120543293714,95.10403916768666,-1.367971385136697,23310
2014,13921.73031924459,4564.556926585697,16.35578962195494,0.09737421944067856,47.021067685735886,29.2,46433050,6464284,2119463,1277890,209009,0.01801801801801805,96.81762545899632,-1.0590746207509911,23730
2015,13612.058921819347,4209.684471576088,15.643093659406226,0.09516925946125096,44.23111766054698,28.6,46384379,6313869,1952636,1120731,175317,0.04171934260429832,100.85679314565483,-0.33096081898468477,24720
2016,13466.996646355254,4099.625003500111,15.999108777072738,0.09446665848179188,40.35349424936562,27.9,46427100,6252336,1903337,1086148,173774,0.02831715210355989,103.71277029783762,0.18386712165815824,25420
2017,13672.34996875219,4174.757588405757,15.895195244554664,0.0956945578329142,35.926248140674545,26.6,46510461,6359073,1941699,1107278,176004,0.02714398111723048,106.5279477764178,0.6913403774346749,26110
2018,14285.51062077346,4270.03242165434,16.368873746486543,0.10003026198029888,32.24982026342606,26.1,46715383,6673531,1994762,1160538,189967,0.01953274607430111,108.60873113015096,1.0664293056173175,26620
2019,14701.23521224552,4419.637299513262,17.04592969159297,0.1068990981056698,30.10717126596086,25.3,47087778,6922485,2081109,1210154,206282,0.01164537941397436,109.87352101183193,1.294424536473434,26930
2020,11876.009243835,3860.742874431205,20.78326177606432,0.11289890609437324,36.078194573620614,26.4,47344852,5622679,1827863,1214179,252346,-0.1143705904196064,97.30722154222768,-0.9708184023550752,23850
2021,13208.449662824354,4305.690035971992,21.141882973381723,0.1133912094991944,33.7132933400969,27.6,47346836,6253783,2038608,1330364,281264,0.06666666666666665,103.79436964504283,0.19857649139081088,25440
2022,15558.449850542118,4814.511953763386,22.44150882275112,0.12111446234863918,28.14816682489508,26.3,47781354,7434038,2300439,1500269,336683,0.0522798742138364,109.22072623419012,1.1767495786122126,26770
2023,16473.916257523717,5240.4051115343955,23.49106735187542,0.13008059515915807,27.063685519287,26.9,48320520,7960282,2532191,1646992,386896,0.01419499439671279,110.77111383108937,1.4562276035326132,27150
