ano,tipo,sexo,valor,metric
2010,total infracciones penales,hombres,185692.55202902833,detenidos (estimado)
2010,total infracciones penales,mujeres,185692.55202902833,detenidos (estimado)
2011,total infracciones penales,hombres,227584.2421532079,detenidos (estimado)
2011,total infracciones penales,mujeres,227584.2421532079,detenidos (estimado)
2012,total infracciones penales,hombres,212919.88010469967,detenidos (estimado)
2012,total infracciones penales,mujeres,212919.88010469967,detenidos (estimado)
2013,total infracciones penales,hombres,203865.1535002094,detenidos (estimado)
2013,total infracciones penales,mujeres,203865.1535002094,detenidos (estimado)
2014,total infracciones penales,hombres,174112.63034371374,detenidos (estimado)
2014,total infracciones penales,mujeres,174112.63034371374,detenidos (estimado)
2015,total infracciones penales,hombres,146433.42170145063,detenidos (estimado)
2015,total infracciones penales,mujeres,146433.42170145063,detenidos (estimado)
2016,total infracciones penales,hombres,144079.530478265,detenidos (estimado)
2016,total infracciones penales,mujeres,144079.530478265,detenidos (estimado)
2017,total infracciones penales,hombres,146492.80191034084,detenidos (estimado)
2017,total infracciones penales,mujeres,146492.80191034084,detenidos (estimado)
2018,total infracciones penales,hombres,158755.5950232497,detenidos (estimado)
2018,total infracciones penales,mujeres,158755.5950232497,detenidos (estimado)
2019,total infracciones penales,hombres,173625.29354244834,detenidos (estimado)
2019,total infracciones penales,mujeres,173625.29354244834,detenidos (estimado)
2020,total infracciones penales,hombres,212800.90857834317,detenidos (estimado)
2020,total infracciones penales,mujeres,212800.90857834317,detenidos (estimado)
2021,total infracciones penales,hombres,238639.31087933495,detenidos (estimado)
2021,total infracciones penales,mujeres,238639.31087933495,detenidos (estimado)
2022,total infracciones penales,hombres,285588.24239828525,detenidos (estimado)
2022,total infracciones penales,mujeres,285588.24239828525,detenidos (estimado)
2023,total infracciones penales,hombres,326906.42343045794,detenidos (estimado)
2023,total infracciones penales,mujeres,326906.42343045794,detenidos (estimado)
