ano,tipo,valor
2010,1. contra las personas,21061
2010,1.1.-homicidios dolosos/asesinatos,305
2010,1.1.1.-homicidios dolosos/asesinatos consumados,124
2010,1.2.-lesiones,5072
2010,1.3.-malos tratos ambito familiar,14747
2010,1.4.-otros contra las personas,937
2010,10. orden publico,7567
2010,11. legislacion especial,40
2010,12. otras infracciones penales,1928
2010,2. contra la libertad,5553
2010,2.1.-malos tratos habituales en el ambito familiar,2498
2010,2.2.-otros contra la libertad,3055
2010,3. libertad sexual,2143
2010,3.1.-agresion sexual,951
2010,3.2.-agresion sexual con penetracion,509
2010,3.3.-corrupcion de menores o incapacitados,51
2010,3.4.-pornografia de menores,39
2010,3.5.-otros contra la libertad sexual,593
2010,4. relaciones familiares,307
2010,5. patrimonio,42321
2010,5.1.-hurtos,13561
2010,5.2.-robos con fuerza en las cosas,11939
2010,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,1785
2010,5.2.2.-robos con fuerza en viviendas,2782
2010,5.2.3.-robos con fuerza en establecimientos,2846
2010,5.3.-robos con violencia o intimidacion,6279
2010,5.3.1.-robos con violencia en via publica,4198
2010,5.3.2.-robos con violencia en viviendas,536
2010,5.3.3.-robos con violencia en establecimientos,936
2010,5.4.-sustraccion de vehiculos,1799
2010,5.5.-estafas,2746
2010,5.5.1.-estafas informaticas,583
2010,5.6.-danos,1381
2010,5.7.-contra la propiedad intelectual/industrial,2867
2010,5.8.-blanqueo de capitales,98
2010,5.9.-otros contra el patrimonio,1651
2010,6. seguridad colectiva,17090
2010,6.1.-trafico de drogas,7837
2010,6.2.-contra la seguridad vial,8833
2010,6.3.-otros contra la seguridad colectiva,420
2010,7. falsedades,5335
2010,8. admon. publica,33
2010,9. admon. justicia,4660
2010,total infracciones penales,108038
2011,1. contra las personas,28182
2011,1.1.-homicidios dolosos/asesinatos,399
2011,1.1.1.-homicidios dolosos/asesinatos consumados,176
2011,1.2.-lesiones,8541
2011,1.3.-malos tratos ambito familiar,16260
2011,1.4.-otros contra las personas,2982
