ano,tipo,sexo,valor,metric
2010,1. contra las personas,hombres,19526,detenidos
2010,1. contra las personas,mujeres,1535,detenidos
2010,1. contra las personas,total,21061,detenidos
2010,1.1.-homicidios dolosos/asesinatos,hombres,267,detenidos
2010,1.1.-homicidios dolosos/asesinatos,mujeres,38,detenidos
2010,1.1.-homicidios dolosos/asesinatos,total,305,detenidos
2010,1.1.1.-homicidios dolosos/asesinatos consumados,hombres,102,detenidos
2010,1.1.1.-homicidios dolosos/asesinatos consumados,mujeres,22,detenidos
2010,1.1.1.-homicidios dolosos/asesinatos consumados,total,124,detenidos
2010,1.2.-lesiones,hombres,4647,detenidos
2010,1.2.-lesiones,mujeres,425,detenidos
2010,1.2.-lesiones,total,5072,detenidos
2010,1.3.-malos tratos ambito familiar,hombres,13778,detenidos
2010,1.3.-malos tratos ambito familiar,mujeres,969,detenidos
2010,1.3.-malos tratos ambito familiar,total,14747,detenidos
2010,1.4.-otros contra las personas,hombres,834,detenidos
2010,1.4.-otros contra las personas,mujeres,103,detenidos
2010,1.4.-otros contra las personas,total,937,detenidos
2010,10. orden publico,hombres,6605,detenidos
2010,10. orden publico,mujeres,962,detenidos
2010,10. orden publico,total,7567,detenidos
2010,11. legislacion especial,hombres,36,detenidos
2010,11. legislacion especial,mujeres,4,detenidos
2010,11. legislacion especial,total,40,detenidos
2010,12. otras infracciones penales,hombres,1525,detenidos
2010,12. otras infracciones penales,mujeres,403,detenidos
2010,12. otras infracciones penales,total,1928,detenidos
2010,2. contra la libertad,hombres,5114,detenidos
2010,2. contra la libertad,mujeres,439,detenidos
2010,2. contra la libertad,total,5553,detenidos
2010,2.1.-malos tratos habituales en el ambito familiar,hombres,2381,detenidos
2010,2.1.-malos tratos habituales en el ambito familiar,mujeres,117,detenidos
2010,2.1.-malos tratos habituales en el ambito familiar,total,2498,detenidos
2010,2.2.-otros contra la libertad,hombres,2733,detenidos
2010,2.2.-otros contra la libertad,mujeres,322,detenidos
2010,2.2.-otros contra la libertad,total,3055,detenidos
2010,3. libertad sexual,hombres,1848,detenidos
2010,3. libertad sexual,mujeres,295,detenidos
2010,3. libertad sexual,total,2143,detenidos
2010,3.1.-agresion sexual,hombres,938,detenidos
2010,3.1.-agresion sexual,mujeres,13,detenidos
2010,3.1.-agresion sexual,total,951,detenidos
2010,3.2.-agresion sexual con penetracion,hombres,502,detenidos
2010,3.2.-agresion sexual con penetracion,mujeres,7,detenidos
2010,3.2.-agresion sexual con penetracion,total,509,detenidos
2010,3.3.-corrupcion de menores o incapacitados,hombres,30,detenidos
2010,3.3.-corrupcion de menores o incapacitados,mujeres,21,detenidos
2010,3.3.-corrupcion de menores o incapacitados,total,51,detenidos
2010,3.4.-pornografia de menores,hombres,39,detenidos
2010,3.4.-pornografia de menores,mujeres,0,detenidos
