ano,tipo,valor
2010,1. contra las personas,66224
2010,1.1.-homicidios dolosos/asesinatos,1338
2010,1.1.1.-homicidios dolosos/asesinatos consumados,397
2010,1.2.-lesiones,16137
2010,1.3.-malos tratos ambito familiar,46479
2010,1.4.-otros contra las personas,2270
2010,10. orden publico,23749
2010,11. legislacion especial,146
2010,12. otras infracciones penales,3778
2010,2. contra la libertad,24203
2010,2.1.-malos tratos habituales en el ambito familiar,10905
2010,2.2.-otros contra la libertad,13298
2010,3. libertad sexual,6234
2010,3.1.-agresion sexual,2793
2010,3.2.-agresion sexual con penetracion,1331
2010,3.3.-corrupcion de menores o incapacitados,226
2010,3.4.-pornografia de menores,504
2010,3.5.-otros contra la libertad sexual,1380
2010,4. relaciones familiares,1093
2010,5. patrimonio,137368
2010,5.1.-hurtos,33639
2010,5.2.-robos con fuerza en las cosas,50266
2010,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,8455
2010,5.2.2.-robos con fuerza en viviendas,9730
2010,5.2.3.-robos con fuerza en establecimientos,9520
2010,5.3.-robos con violencia o intimidacion,21621
2010,5.3.1.-robos con violencia en via publica,10397
2010,5.3.2.-robos con violencia en viviendas,1280
2010,5.3.3.-robos con violencia en establecimientos,3368
2010,5.4.-sustraccion de vehiculos,7169
2010,5.5.-estafas,8334
2010,5.5.1.-estafas informaticas,1611
2010,5.6.-danos,5797
2010,5.7.-contra la propiedad intelectual/industrial,3733
2010,5.8.-blanqueo de capitales,296
2010,5.9.-otros contra el patrimonio,6513
2010,6. seguridad colectiva,60510
2010,6.1.-trafico de drogas,21683
2010,6.2.-contra la seguridad vial,36751
2010,6.3.-otros contra la seguridad colectiva,2076
2010,7. falsedades,9541
2010,8. admon. publica,245
2010,9. admon. justicia,18876
2010,total infracciones penales,351967
2011,1. contra las personas,101176
2011,1.1.-homicidios dolosos/asesinatos,1390
2011,1.1.1.-homicidios dolosos/asesinatos consumados,451
2011,1.2.-lesiones,31319
2011,1.3.-malos tratos ambito familiar,51888
2011,1.4.-otros contra las personas,16579
