scope,method,x,y,n,estimate,p_value,conf_low,conf_high,block,p_adj_fdr
total,pearson,tasa_hc_100k,tasa_he_100k,14,0.8870428922200798,2.3413084376598225e-5,0.673394198535868,0.9639448557074756,niveles,7.023925312979468e-5
total,spearman,tasa_hc_100k,tasa_he_100k,14,0.8461538461538461,1.3625614917754875e-4,NA,NA,niveles,4.0876844753264625e-4
total,kendall,tasa_hc_100k,tasa_he_100k,14,0.6703296703296703,8.394799738418202e-4,NA,NA,niveles,0.00251843992152546
total,pearson,tasa_hc_100k,share_extranjeros,14,0.24175233258798792,0.40502676337204,-0.3313259645242987,0.6845282019257326,niveles,0.40502676337204
total,spearman,tasa_hc_100k,share_extranjeros,14,0.42417582417582417,0.13063731043811042,NA,NA,niveles,0.13063731043811042
total,kendall,tasa_hc_100k,share_extranjeros,14,0.45054945054945056,0.02479764641588489,NA,NA,niveles,0.02975717569906186
total,pearson,tasa_hc_100k,pct_extranjeros,14,0.4304317826524556,0.12445718123214251,-0.12978862233761546,0.7823414822190651,niveles,0.149348617478571
total,spearman,tasa_hc_100k,pct_extranjeros,14,0.5428571428571428,0.04486396643924858,NA,NA,niveles,0.05383675972709829
total,kendall,tasa_hc_100k,pct_extranjeros,14,0.5604395604395604,0.00523850725996718,NA,NA,niveles,0.01047701451993436
total,pearson,tasa_he_100k,share_extranjeros,14,0.5133141893492117,0.06047600662757143,-0.02372762697936356,0.820442818861421,niveles,0.09071400994135714
total,spearman,tasa_he_100k,share_extranjeros,14,0.5648351648351648,0.03533018486755273,NA,NA,niveles,0.05299527730132909
total,kendall,tasa_he_100k,share_extranjeros,14,0.42857142857142855,0.03275686771569446,NA,NA,niveles,0.03275686771569446
total,pearson,tasa_he_100k,pct_extranjeros,14,0.6405755715332798,0.01358263382732066,0.16662947217117774,0.874077033797218,niveles,0.02716526765464132
total,spearman,tasa_he_100k,pct_extranjeros,14,0.6043956043956044,0.02205686175461605,NA,NA,niveles,0.0441137235092321
total,kendall,tasa_he_100k,pct_extranjeros,14,0.4945054945054945,0.01375801978654664,NA,NA,niveles,0.02063702967981996
total,pearson,share_extranjeros,pct_extranjeros,14,0.9625730452453554,3.6602437939809865e-8,0.8829195785095045,0.9883704710624964,niveles,2.196146276388592e-7
total,spearman,share_extranjeros,pct_extranjeros,14,0.9692307692307692,1.1465229425475632e-8,NA,NA,niveles,6.879137655285378e-8
total,kendall,share_extranjeros,pct_extranjeros,14,0.8901098901098901,9.23564489935082e-6,NA,NA,niveles,5.541386939610492e-5
sin_covid,pearson,tasa_hc_100k,tasa_he_100k,12,0.8947105178949816,8.519220236531414e-5,0.6593894187391949,0.970357188607842,niveles,1.0209575618295046e-4
sin_covid,spearman,tasa_hc_100k,tasa_he_100k,12,0.8321678321678323,7.854416778536104e-4,NA,NA,niveles,7.854416778536104e-4
sin_covid,kendall,tasa_hc_100k,tasa_he_100k,12,0.6666666666666666,0.00255128061644492,NA,NA,niveles,0.00255128061644492
sin_covid,pearson,tasa_hc_100k,share_extranjeros,12,0.8958348928797016,8.089723816773839e-5,0.6625792386273849,0.9706862391023746,niveles,1.0209575618295046e-4
sin_covid,spearman,tasa_hc_100k,share_extranjeros,12,0.9510489510489512,2.0384246324655723e-6,NA,NA,niveles,4.076849264931145e-6
sin_covid,kendall,tasa_hc_100k,share_extranjeros,12,0.8484848484848485,1.2300289391028565e-4,NA,NA,niveles,2.460057878205713e-4
sin_covid,pearson,tasa_hc_100k,pct_extranjeros,12,0.9550345198046504,1.3422026540570656e-6,0.8433932443279357,0.9876236872949588,niveles,4.026607962171197e-6
sin_covid,spearman,tasa_hc_100k,pct_extranjeros,12,0.9790209790209792,3.089801398548779e-8,NA,NA,niveles,1.8538808391292674e-7
sin_covid,kendall,tasa_hc_100k,pct_extranjeros,12,0.9393939393939394,2.123454219485978e-5,NA,NA,niveles,1.1648012365094706e-4
sin_covid,pearson,tasa_he_100k,share_extranjeros,12,0.8906760401641252,1.0209575618295046e-4,0.6480130413083188,0.9691741777370336,niveles,1.0209575618295046e-4
sin_covid,spearman,tasa_he_100k,share_extranjeros,12,0.8881118881118882,1.1413359814618011e-4,NA,NA,niveles,1.7120039721927016e-4
sin_covid,kendall,tasa_he_100k,share_extranjeros,12,0.696969696969697,0.00160863093201934,NA,NA,niveles,0.0019303571184232
sin_covid,pearson,tasa_he_100k,pct_extranjeros,12,0.9032197166967416,5.673011888296583e-5,0.6837421952755964,0.972840471015218,niveles,1.0209575618295046e-4
sin_covid,spearman,tasa_he_100k,pct_extranjeros,12,0.8741258741258742,2.0071307332423193e-4,NA,NA,niveles,2.408556879890783e-4
sin_covid,kendall,tasa_he_100k,pct_extranjeros,12,0.7272727272727273,9.966088437560236e-4,NA,NA,niveles,0.00149491326563403
sin_covid,pearson,share_extranjeros,pct_extranjeros,12,0.9761258828341012,5.8685053695782654e-8,0.9145622314061244,0.9934798607431626,niveles,3.521103221746959e-7
sin_covid,spearman,share_extranjeros,pct_extranjeros,12,0.9720279720279722,1.2868115751494757e-7,NA,NA,niveles,3.860434725448427e-7
sin_covid,kendall,share_extranjeros,pct_extranjeros,12,0.9090909090909092,3.882670788364902e-5,NA,NA,niveles,1.1648012365094706e-4
total,pearson,d_tasa_hc_100k,d_tasa_he_100k,13,0.9012838211170244,2.5880421157642533e-5,0.6958570525275048,0.9703827416482288,deltas,1.552825269458552e-4
total,spearman,d_tasa_hc_100k,d_tasa_he_100k,13,0.8901098901098902,4.565437440744694e-5,NA,NA,deltas,1.3696312322234082e-4
total,kendall,d_tasa_hc_100k,d_tasa_he_100k,13,0.7692307692307693,2.516908818325785e-4,NA,NA,deltas,0.00151014529099547
total,pearson,d_tasa_hc_100k,d_pct_extran,13,0.26511903674672926,0.3813550442598974,-0.33476807904916195,0.7120852767538932,deltas,0.4688826376832445
total,spearman,d_tasa_hc_100k,d_pct_extran,13,0.6098901098901099,0.02687783442125201,NA,NA,deltas,0.05375566884250402
total,kendall,d_tasa_hc_100k,d_pct_extran,13,0.4615384615384616,0.02806905049643643,NA,NA,deltas,0.05613810099287286
total,pearson,d_tasa_hc_100k,d_share_ext,13,-0.2601174484469187,0.3907355314027038,-0.7094270357032251,0.339529528038863,deltas,0.4688826376832445
total,spearman,d_tasa_hc_100k,d_share_ext,13,0.42307692307692313,0.1497485415549681,NA,NA,deltas,0.15567475363347455
total,kendall,d_tasa_hc_100k,d_share_ext,13,0.38461538461538464,0.06721007896807413,NA,NA,deltas,0.06721007896807413
total,pearson,d_tasa_he_100k,d_pct_extran,13,0.348429846476121,0.24332335383494155,-0.2506811544603522,0.7545557447464992,deltas,0.4688826376832445
total,spearman,d_tasa_he_100k,d_pct_extran,13,0.5274725274725275,0.06395489148355481,NA,NA,deltas,0.0959323372253322
total,kendall,d_tasa_he_100k,d_pct_extran,13,0.38461538461538464,0.06721007896807413,NA,NA,deltas,0.06721007896807413
total,pearson,d_tasa_he_100k,d_share_ext,13,-0.11561941103809388,0.7068181026570932,-0.6266821780361898,0.46498774766508544,deltas,0.7068181026570932
total,spearman,d_tasa_he_100k,d_share_ext,13,0.4175824175824176,0.15567475363347455,NA,NA,deltas,0.15567475363347455
total,kendall,d_tasa_he_100k,d_share_ext,13,0.41025641025641024,0.05090444811242372,NA,NA,deltas,0.06721007896807413
total,pearson,d_pct_extran,d_share_ext,13,0.7633279749056843,0.0023972423412553,0.3664761091314672,0.92519320894677,deltas,0.0071917270237659
total,spearman,d_pct_extran,d_share_ext,13,0.8956043956043956,3.4809729944820617e-5,NA,NA,deltas,1.3696312322234082e-4
total,kendall,d_pct_extran,d_share_ext,13,0.717948717948718,6.343219821947077e-4,NA,NA,deltas,0.00190296594658412
sin_covid,pearson,d_tasa_hc_100k,d_tasa_he_100k,11,0.8220452778529311,0.00190247267490951,0.438313215319154,0.95231199107017,deltas,0.00517585715447638
sin_covid,spearman,d_tasa_hc_100k,d_tasa_he_100k,11,0.8181818181818182,0.00208314484047869,NA,NA,deltas,0.00373251397246301
sin_covid,kendall,d_tasa_hc_100k,d_tasa_he_100k,11,0.6727272727272727,0.00397112854491422,NA,NA,deltas,0.00476535425389706
sin_covid,pearson,d_tasa_hc_100k,d_pct_extran,11,0.8085724530417305,0.00258792857723819,0.4052711213753624,0.9484223857553136,deltas,0.00517585715447638
sin_covid,spearman,d_tasa_hc_100k,d_pct_extran,11,0.890909090909091,2.3345817037873244e-4,NA,NA,deltas,7.003745111361973e-4
sin_covid,kendall,d_tasa_hc_100k,d_pct_extran,11,0.7090909090909091,0.00239623396967502,NA,NA,deltas,0.00476535425389706
sin_covid,pearson,d_tasa_hc_100k,d_share_ext,11,0.7884851655046672,0.00393068746389076,0.35788896663415276,0.9425439250771512,deltas,0.00589603119583614
