scope,method,x,y,n,estimate,p_value,conf_low,conf_high
total,pearson,tasa_hc_100k,tasa_he_100k,14,0.8870428922200798,2.3413084376598225e-5,0.673394198535868,0.9639448557074756
total,spearman,tasa_hc_100k,tasa_he_100k,14,0.8461538461538461,1.3625614917754875e-4,NA,NA
total,kendall,tasa_hc_100k,tasa_he_100k,14,0.6703296703296703,8.394799738418202e-4,NA,NA
total,pearson,tasa_hc_100k,share_extranjeros,14,0.24175233258798792,0.40502676337204,-0.3313259645242987,0.6845282019257326
total,spearman,tasa_hc_100k,share_extranjeros,14,0.42417582417582417,0.13063731043811042,NA,NA
total,kendall,tasa_hc_100k,share_extranjeros,14,0.45054945054945056,0.02479764641588489,NA,NA
total,pearson,tasa_hc_100k,pct_extranjeros,14,0.4304317826524556,0.12445718123214251,-0.12978862233761546,0.7823414822190651
total,spearman,tasa_hc_100k,pct_extranjeros,14,0.5428571428571428,0.04486396643924858,NA,NA
total,kendall,tasa_hc_100k,pct_extranjeros,14,0.5604395604395604,0.00523850725996718,NA,NA
total,pearson,tasa_he_100k,share_extranjeros,14,0.5133141893492117,0.06047600662757143,-0.02372762697936356,0.820442818861421
total,spearman,tasa_he_100k,share_extranjeros,14,0.5648351648351648,0.03533018486755273,NA,NA
total,kendall,tasa_he_100k,share_extranjeros,14,0.42857142857142855,0.03275686771569446,NA,NA
total,pearson,tasa_he_100k,pct_extranjeros,14,0.6405755715332798,0.01358263382732066,0.16662947217117774,0.874077033797218
total,spearman,tasa_he_100k,pct_extranjeros,14,0.6043956043956044,0.02205686175461605,NA,NA
total,kendall,tasa_he_100k,pct_extranjeros,14,0.4945054945054945,0.01375801978654664,NA,NA
total,pearson,share_extranjeros,pct_extranjeros,14,0.9625730452453554,3.6602437939809865e-8,0.8829195785095045,0.9883704710624964
total,spearman,share_extranjeros,pct_extranjeros,14,0.9692307692307692,1.1465229425475632e-8,NA,NA
total,kendall,share_extranjeros,pct_extranjeros,14,0.8901098901098901,9.23564489935082e-6,NA,NA
sin_covid,pearson,tasa_hc_100k,tasa_he_100k,12,0.8947105178949816,8.519220236531414e-5,0.6593894187391949,0.970357188607842
sin_covid,spearman,tasa_hc_100k,tasa_he_100k,12,0.8321678321678323,7.854416778536104e-4,NA,NA
sin_covid,kendall,tasa_hc_100k,tasa_he_100k,12,0.6666666666666666,0.00255128061644492,NA,NA
sin_covid,pearson,tasa_hc_100k,share_extranjeros,12,0.8958348928797016,8.089723816773839e-5,0.6625792386273849,0.9706862391023746
sin_covid,spearman,tasa_hc_100k,share_extranjeros,12,0.9510489510489512,2.0384246324655723e-6,NA,NA
sin_covid,kendall,tasa_hc_100k,share_extranjeros,12,0.8484848484848485,1.2300289391028565e-4,NA,NA
sin_covid,pearson,tasa_hc_100k,pct_extranjeros,12,0.9550345198046504,1.3422026540570656e-6,0.8433932443279357,0.9876236872949588
sin_covid,spearman,tasa_hc_100k,pct_extranjeros,12,0.9790209790209792,3.089801398548779e-8,NA,NA
sin_covid,kendall,tasa_hc_100k,pct_extranjeros,12,0.9393939393939394,2.123454219485978e-5,NA,NA
sin_covid,pearson,tasa_he_100k,share_extranjeros,12,0.8906760401641252,1.0209575618295046e-4,0.6480130413083188,0.9691741777370336
sin_covid,spearman,tasa_he_100k,share_extranjeros,12,0.8881118881118882,1.1413359814618011e-4,NA,NA
sin_covid,kendall,tasa_he_100k,share_extranjeros,12,0.696969696969697,0.00160863093201934,NA,NA
sin_covid,pearson,tasa_he_100k,pct_extranjeros,12,0.9032197166967416,5.673011888296583e-5,0.6837421952755964,0.972840471015218
sin_covid,spearman,tasa_he_100k,pct_extranjeros,12,0.8741258741258742,2.0071307332423193e-4,NA,NA
sin_covid,kendall,tasa_he_100k,pct_extranjeros,12,0.7272727272727273,9.966088437560236e-4,NA,NA
sin_covid,pearson,share_extranjeros,pct_extranjeros,12,0.9761258828341012,5.868505369578265e-8,0.9145622314061244,0.9934798607431626
sin_covid,spearman,share_extranjeros,pct_extranjeros,12,0.9720279720279722,1.2868115751494757e-7,NA,NA
sin_covid,kendall,share_extranjeros,pct_extranjeros,12,0.9090909090909092,3.882670788364902e-5,NA,NA
