estimate,p_value,n,scope,method,x,y
0.9568121566717588,3.976186986473543e-6,14,total,partial,pct_extranjeros,share_extranjeros
0.8425468117350827,0.00113162165705821,14,total,partial,pct_extranjeros,tasa_hc_100k
0.9253425870664757,4.458198747800901e-5,14,total,partial,pct_extranjeros,tasa_he_100k
0.7342352138060536,0.01008502665703403,14,total,partial,share_extranjeros,tasa_hc_100k
0.8475805267424891,9.85196450102085e-4,14,total,partial,share_extranjeros,tasa_he_100k
0.940840172030554,1.6007951713630302e-5,14,total,partial,tasa_hc_100k,tasa_he_100k
0.9473371546535012,1.0479822991068405e-4,12,sin_covid,partial,pct_extranjeros,share_extranjeros
0.9579230168681632,4.82827146801921e-5,12,sin_covid,partial,pct_extranjeros,tasa_hc_100k
0.9196206947043636,4.4782221874834416e-4,12,sin_covid,partial,pct_extranjeros,tasa_he_100k
0.8335976742986768,0.00523794907368194,12,sin_covid,partial,share_extranjeros,tasa_hc_100k
0.8507513576941865,0.00364304205617944,12,sin_covid,partial,share_extranjeros,tasa_he_100k
0.910404255911159,6.487736848440284e-4,12,sin_covid,partial,tasa_hc_100k,tasa_he_100k
0.8487477455094679,4.808588074166578e-4,13,total,partial_delta,d_pct_extran,d_share_ext
0.5845912603475765,0.04589981991823382,13,total,partial_delta,d_pct_extran,d_tasa_hc_100k
0.5071042982854983,0.09242710645150332,13,total,partial_delta,d_pct_extran,d_tasa_he_100k
0.34384077869262647,0.2738035494939995,13,total,partial_delta,d_share_ext,d_tasa_hc_100k
0.3134060150678339,0.3212170241449433,13,total,partial_delta,d_share_ext,d_tasa_he_100k
0.8676104897316073,2.5538947132199995e-4,13,total,partial_delta,d_tasa_hc_100k,d_tasa_he_100k
0.9005811882351725,3.7850783669677744e-4,11,sin_covid,partial_delta,d_pct_extran,d_share_ext
0.7654367524287539,0.00986823793524259,11,sin_covid,partial_delta,d_pct_extran,d_tasa_hc_100k
0.7797883169344854,0.00781110958018885,11,sin_covid,partial_delta,d_pct_extran,d_tasa_he_100k
0.7311667669012422,0.01627346868330582,11,sin_covid,partial_delta,d_share_ext,d_tasa_hc_100k
0.760709299062995,0.01062203826294078,11,sin_covid,partial_delta,d_share_ext,d_tasa_he_100k
0.8894237794374235,5.712170634504927e-4,11,sin_covid,partial_delta,d_tasa_hc_100k,d_tasa_he_100k
