ano,edad_bin,trimestre,n,presente
2010,15-19,1,1,TRUE
2010,15-19,2,1,TRUE
2010,15-19,3,1,TRUE
2010,15-19,4,1,TRUE
2010,20-24,1,1,TRUE
2010,20-24,2,1,TRUE
2010,20-24,3,1,TRUE
2010,20-24,4,1,TRUE
2010,25-29,1,1,TRUE
2010,25-29,2,1,TRUE
2010,25-29,3,1,TRUE
2010,25-29,4,1,TRUE
2011,15-19,1,1,TRUE
2011,15-19,2,1,TRUE
2011,15-19,3,1,TRUE
2011,15-19,4,1,TRUE
2011,20-24,1,1,TRUE
2011,20-24,2,1,TRUE
2011,20-24,3,1,TRUE
2011,20-24,4,1,TRUE
2011,25-29,1,1,TRUE
2011,25-29,2,1,TRUE
2011,25-29,3,1,TRUE
2011,25-29,4,1,TRUE
2012,15-19,1,1,TRUE
2012,15-19,2,1,TRUE
2012,15-19,3,1,TRUE
2012,15-19,4,1,TRUE
2012,20-24,1,1,TRUE
2012,20-24,2,1,TRUE
2012,20-24,3,1,TRUE
2012,20-24,4,1,TRUE
2012,25-29,1,1,TRUE
2012,25-29,2,1,TRUE
2012,25-29,3,1,TRUE
2012,25-29,4,1,TRUE
2013,15-19,1,1,TRUE
2013,15-19,2,1,TRUE
2013,15-19,3,1,TRUE
2013,15-19,4,1,TRUE
2013,20-24,1,1,TRUE
2013,20-24,2,1,TRUE
2013,20-24,3,1,TRUE
2013,20-24,4,1,TRUE
2013,25-29,1,1,TRUE
2013,25-29,2,1,TRUE
2013,25-29,3,1,TRUE
2013,25-29,4,1,TRUE
2014,15-19,1,1,TRUE
2014,15-19,2,1,TRUE
2014,15-19,3,1,TRUE
2014,15-19,4,1,TRUE
2014,20-24,1,1,TRUE
2014,20-24,2,1,TRUE
2014,20-24,3,1,TRUE
2014,20-24,4,1,TRUE
2014,25-29,1,1,TRUE
2014,25-29,2,1,TRUE
2014,25-29,3,1,TRUE
2014,25-29,4,1,TRUE
2015,15-19,1,1,TRUE
2015,15-19,2,1,TRUE
2015,15-19,3,1,TRUE
2015,15-19,4,1,TRUE
2015,20-24,1,1,TRUE
2015,20-24,2,1,TRUE
2015,20-24,3,1,TRUE
2015,20-24,4,1,TRUE
2015,25-29,1,1,TRUE
2015,25-29,2,1,TRUE
2015,25-29,3,1,TRUE
2015,25-29,4,1,TRUE
2016,15-19,1,1,TRUE
2016,15-19,2,1,TRUE
2016,15-19,3,1,TRUE
2016,15-19,4,1,TRUE
2016,20-24,1,1,TRUE
2016,20-24,2,1,TRUE
2016,20-24,3,1,TRUE
2016,20-24,4,1,TRUE
2016,25-29,1,1,TRUE
2016,25-29,2,1,TRUE
2016,25-29,3,1,TRUE
2016,25-29,4,1,TRUE
2017,15-19,1,1,TRUE
2017,15-19,2,1,TRUE
2017,15-19,3,1,TRUE
2017,15-19,4,1,TRUE
2017,20-24,1,1,TRUE
2017,20-24,2,1,TRUE
2017,20-24,3,1,TRUE
2017,20-24,4,1,TRUE
2017,25-29,1,1,TRUE
2017,25-29,2,1,TRUE
2017,25-29,3,1,TRUE
2017,25-29,4,1,TRUE
2018,15-19,1,1,TRUE
2018,15-19,2,1,TRUE
2018,15-19,3,1,TRUE
2018,15-19,4,1,TRUE
2018,20-24,1,1,TRUE
2018,20-24,2,1,TRUE
2018,20-24,3,1,TRUE
2018,20-24,4,1,TRUE
2018,25-29,1,1,TRUE
2018,25-29,2,1,TRUE
2018,25-29,3,1,TRUE
2018,25-29,4,1,TRUE
2019,15-19,1,1,TRUE
2019,15-19,2,1,TRUE
2019,15-19,3,1,TRUE
2019,15-19,4,1,TRUE
2019,20-24,1,1,TRUE
2019,20-24,2,1,TRUE
2019,20-24,3,1,TRUE
2019,20-24,4,1,TRUE
2019,25-29,1,1,TRUE
2019,25-29,2,1,TRUE
2019,25-29,3,1,TRUE
2019,25-29,4,1,TRUE
2020,15-19,1,1,TRUE
2020,15-19,2,1,TRUE
2020,15-19,3,1,TRUE
2020,15-19,4,1,TRUE
2020,20-24,1,1,TRUE
2020,20-24,2,1,TRUE
2020,20-24,3,1,TRUE
2020,20-24,4,1,TRUE
2020,25-29,1,1,TRUE
2020,25-29,2,1,TRUE
2020,25-29,3,1,TRUE
2020,25-29,4,1,TRUE
2021,15-19,1,1,TRUE
2021,15-19,2,1,TRUE
2021,15-19,3,1,TRUE
2021,15-19,4,1,TRUE
2021,20-24,1,1,TRUE
2021,20-24,2,1,TRUE
2021,20-24,3,1,TRUE
2021,20-24,4,1,TRUE
2021,25-29,1,1,TRUE
2021,25-29,2,1,TRUE
2021,25-29,3,1,TRUE
2021,25-29,4,1,TRUE
2022,15-19,1,1,TRUE
2022,15-19,2,1,TRUE
2022,15-19,3,1,TRUE
2022,15-19,4,1,TRUE
2022,20-24,1,1,TRUE
2022,20-24,2,1,TRUE
2022,20-24,3,1,TRUE
2022,20-24,4,1,TRUE
2022,25-29,1,1,TRUE
2022,25-29,2,1,TRUE
2022,25-29,3,1,TRUE
2022,25-29,4,1,TRUE
2023,15-19,1,1,TRUE
2023,15-19,2,1,TRUE
2023,15-19,3,1,TRUE
2023,15-19,4,1,TRUE
2023,20-24,1,1,TRUE
2023,20-24,2,1,TRUE
2023,20-24,3,1,TRUE
2023,20-24,4,1,TRUE
2023,25-29,1,1,TRUE
2023,25-29,2,1,TRUE
2023,25-29,3,1,TRUE
2023,25-29,4,1,TRUE
