nacionalidad,sexo,grupo_raw,periodo
Total,Total,Todas las edades,1 de enero de 2024
Total,Total,Todas las edades,1 de octubre de 2023
Total,Total,Todas las edades,1 de julio de 2023
Total,Total,Todas las edades,1 de abril de 2023
Total,Total,Todas las edades,1 de enero de 2023
Total,Total,Todas las edades,1 de octubre de 2022
Total,Total,Todas las edades,1 de julio de 2022
Total,Total,Todas las edades,1 de abril de 2022
Total,Total,Todas las edades,1 de enero de 2022
Total,Total,Todas las edades,1 de octubre de 2021
Total,Total,Todas las edades,1 de julio de 2021
Total,Total,Todas las edades,1 de abril de 2021
Total,Total,Todas las edades,1 de enero de 2021
Total,Total,Todas las edades,1 de octubre de 2020
Total,Total,Todas las edades,1 de julio de 2020
Total,Total,Todas las edades,1 de abril de 2020
Total,Total,Todas las edades,1 de enero de 2020
Total,Total,Todas las edades,1 de octubre de 2019
Total,Total,Todas las edades,1 de julio de 2019
Total,Total,Todas las edades,1 de abril de 2019
Total,Total,Todas las edades,1 de enero de 2019
Total,Total,Todas las edades,1 de octubre de 2018
Total,Total,Todas las edades,1 de julio de 2018
Total,Total,Todas las edades,1 de abril de 2018
Total,Total,Todas las edades,1 de enero de 2018
Total,Total,Todas las edades,1 de octubre de 2017
Total,Total,Todas las edades,1 de julio de 2017
Total,Total,Todas las edades,1 de abril de 2017
Total,Total,Todas las edades,1 de enero de 2017
Total,Total,Todas las edades,1 de octubre de 2016
Total,Total,Todas las edades,1 de julio de 2016
Total,Total,Todas las edades,1 de abril de 2016
Total,Total,Todas las edades,1 de enero de 2016
Total,Total,Todas las edades,1 de octubre de 2015
Total,Total,Todas las edades,1 de julio de 2015
Total,Total,Todas las edades,1 de abril de 2015
Total,Total,Todas las edades,1 de enero de 2015
Total,Total,Todas las edades,1 de octubre de 2014
Total,Total,Todas las edades,1 de julio de 2014
Total,Total,Todas las edades,1 de abril de 2014
Total,Total,Todas las edades,1 de enero de 2014
Total,Total,Todas las edades,1 de octubre de 2013
Total,Total,Todas las edades,1 de julio de 2013
Total,Total,Todas las edades,1 de abril de 2013
Total,Total,Todas las edades,1 de enero de 2013
Total,Total,Todas las edades,1 de octubre de 2012
Total,Total,Todas las edades,1 de julio de 2012
Total,Total,Todas las edades,1 de abril de 2012
Total,Total,Todas las edades,1 de enero de 2012
Total,Total,Todas las edades,1 de octubre de 2011
Total,Total,Todas las edades,1 de julio de 2011
Total,Total,Todas las edades,1 de abril de 2011
Total,Total,Todas las edades,1 de enero de 2011
Total,Total,Todas las edades,1 de octubre de 2010
Total,Total,Todas las edades,1 de julio de 2010
Total,Total,Todas las edades,1 de abril de 2010
Total,Total,Todas las edades,1 de enero de 2010
Total,Total,Todas las edades,1 de octubre de 2009
Total,Total,Todas las edades,1 de julio de 2009
Total,Total,Todas las edades,1 de abril de 2009
Total,Total,Todas las edades,1 de enero de 2009
Total,Total,Todas las edades,1 de octubre de 2008
Total,Total,Todas las edades,1 de julio de 2008
Total,Total,Todas las edades,1 de abril de 2008
Total,Total,Todas las edades,1 de enero de 2008
Total,Total,Todas las edades,1 de octubre de 2007
Total,Total,Todas las edades,1 de julio de 2007
Total,Total,Todas las edades,1 de abril de 2007
Total,Total,Todas las edades,1 de enero de 2007
Total,Total,Todas las edades,1 de octubre de 2006
Total,Total,Todas las edades,1 de julio de 2006
Total,Total,Todas las edades,1 de abril de 2006
Total,Total,Todas las edades,1 de enero de 2006
Total,Total,Todas las edades,1 de octubre de 2005
Total,Total,Todas las edades,1 de julio de 2005
Total,Total,Todas las edades,1 de abril de 2005
Total,Total,Todas las edades,1 de enero de 2005
Total,Total,Todas las edades,1 de octubre de 2004
Total,Total,Todas las edades,1 de julio de 2004
Total,Total,Todas las edades,1 de abril de 2004
Total,Total,Todas las edades,1 de enero de 2004
Total,Total,Todas las edades,1 de octubre de 2003
Total,Total,Todas las edades,1 de julio de 2003
Total,Total,Todas las edades,1 de abril de 2003
Total,Total,Todas las edades,1 de enero de 2003
Total,Total,Todas las edades,1 de octubre de 2002
Total,Total,Todas las edades,1 de julio de 2002
Total,Total,Todas las edades,1 de abril de 2002
Total,Total,Todas las edades,1 de enero de 2002
Total,Hombres,Todas las edades,1 de enero de 2024
Total,Hombres,Todas las edades,1 de octubre de 2023
Total,Hombres,Todas las edades,1 de julio de 2023
Total,Hombres,Todas las edades,1 de abril de 2023
Total,Hombres,Todas las edades,1 de enero de 2023
Total,Hombres,Todas las edades,1 de octubre de 2022
Total,Hombres,Todas las edades,1 de julio de 2022
Total,Hombres,Todas las edades,1 de abril de 2022
Total,Hombres,Todas las edades,1 de enero de 2022
Total,Hombres,Todas las edades,1 de octubre de 2021
Total,Hombres,Todas las edades,1 de julio de 2021
Total,Hombres,Todas las edades,1 de abril de 2021
Total,Hombres,Todas las edades,1 de enero de 2021
