ano,delito5,nacionalidad,valor
2010,1. contra las personas,espanoles,45163
2010,1. contra las personas,extranjeros,21061
2010,1. contra las personas,total,66224
2010,1.1.-homicidios dolosos/asesinatos,espanoles,1033
2010,1.1.-homicidios dolosos/asesinatos,extranjeros,305
2010,1.1.-homicidios dolosos/asesinatos,total,1338
2010,1.1.1.-homicidios dolosos/asesinatos consumados,espanoles,273
2010,1.1.1.-homicidios dolosos/asesinatos consumados,extranjeros,124
2010,1.1.1.-homicidios dolosos/asesinatos consumados,total,397
2010,1.2.-lesiones,espanoles,11065
2010,1.2.-lesiones,extranjeros,5072
2010,1.2.-lesiones,total,16137
2010,1.3.-malos tratos ambito familiar,espanoles,31732
2010,1.3.-malos tratos ambito familiar,extranjeros,14747
2010,1.3.-malos tratos ambito familiar,total,46479
2010,1.4.-otros contra las personas,espanoles,1333
2010,1.4.-otros contra las personas,extranjeros,937
2010,1.4.-otros contra las personas,total,2270
2010,10. orden publico,espanoles,16182
2010,10. orden publico,extranjeros,7567
2010,10. orden publico,total,23749
2010,11. legislacion especial,espanoles,106
2010,11. legislacion especial,extranjeros,40
2010,11. legislacion especial,total,146
2010,12. otras infracciones penales,espanoles,1850
2010,12. otras infracciones penales,extranjeros,1928
2010,12. otras infracciones penales,total,3778
2010,2. contra la libertad,espanoles,18650
2010,2. contra la libertad,extranjeros,5553
2010,2. contra la libertad,total,24203
2010,2.1.-malos tratos habituales en el ambito familiar,espanoles,8407
2010,2.1.-malos tratos habituales en el ambito familiar,extranjeros,2498
2010,2.1.-malos tratos habituales en el ambito familiar,total,10905
2010,2.2.-otros contra la libertad,espanoles,10243
2010,2.2.-otros contra la libertad,extranjeros,3055
2010,2.2.-otros contra la libertad,total,13298
2010,3. libertad sexual,espanoles,4091
2010,3. libertad sexual,extranjeros,2143
2010,3. libertad sexual,total,6234
2010,3.1.-agresion sexual,espanoles,1842
2010,3.1.-agresion sexual,extranjeros,951
2010,3.1.-agresion sexual,total,2793
2010,3.2.-agresion sexual con penetracion,espanoles,822
2010,3.2.-agresion sexual con penetracion,extranjeros,509
2010,3.2.-agresion sexual con penetracion,total,1331
2010,3.3.-corrupcion de menores o incapacitados,espanoles,175
2010,3.3.-corrupcion de menores o incapacitados,extranjeros,51
2010,3.3.-corrupcion de menores o incapacitados,total,226
2010,3.4.-pornografia de menores,espanoles,465
2010,3.4.-pornografia de menores,extranjeros,39
2010,3.4.-pornografia de menores,total,504
2010,3.5.-otros contra la libertad sexual,espanoles,787
2010,3.5.-otros contra la libertad sexual,extranjeros,593
2010,3.5.-otros contra la libertad sexual,total,1380
2010,4. relaciones familiares,espanoles,786
2010,4. relaciones familiares,extranjeros,307
2010,4. relaciones familiares,total,1093
2010,5. patrimonio,espanoles,95047
2010,5. patrimonio,extranjeros,42321
2010,5. patrimonio,total,137368
2010,5.1.-hurtos,espanoles,20078
2010,5.1.-hurtos,extranjeros,13561
2010,5.1.-hurtos,total,33639
2010,5.2.-robos con fuerza en las cosas,espanoles,38327
2010,5.2.-robos con fuerza en las cosas,extranjeros,11939
2010,5.2.-robos con fuerza en las cosas,total,50266
2010,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,espanoles,6670
2010,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,extranjeros,1785
2010,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,total,8455
2010,5.2.2.-robos con fuerza en viviendas,espanoles,6948
2010,5.2.2.-robos con fuerza en viviendas,extranjeros,2782
2010,5.2.2.-robos con fuerza en viviendas,total,9730
2010,5.2.3.-robos con fuerza en establecimientos,espanoles,6674
2010,5.2.3.-robos con fuerza en establecimientos,extranjeros,2846
2010,5.2.3.-robos con fuerza en establecimientos,total,9520
2010,5.3.-robos con violencia o intimidacion,espanoles,15342
2010,5.3.-robos con violencia o intimidacion,extranjeros,6279
2010,5.3.-robos con violencia o intimidacion,total,21621
2010,5.3.1.-robos con violencia en via publica,espanoles,6199
2010,5.3.1.-robos con violencia en via publica,extranjeros,4198
2010,5.3.1.-robos con violencia en via publica,total,10397
2010,5.3.2.-robos con violencia en viviendas,espanoles,744
2010,5.3.2.-robos con violencia en viviendas,extranjeros,536
2010,5.3.2.-robos con violencia en viviendas,total,1280
