ano,delito5,total,extranjeros,espanoles
2010,1. contra las personas,66224,21061,45163
2010,1.1.-homicidios dolosos/asesinatos,1338,305,1033
2010,1.1.1.-homicidios dolosos/asesinatos consumados,397,124,273
2010,1.2.-lesiones,16137,5072,11065
2010,1.3.-malos tratos ambito familiar,46479,14747,31732
2010,1.4.-otros contra las personas,2270,937,1333
2010,10. orden publico,23749,7567,16182
2010,11. legislacion especial,146,40,106
2010,12. otras infracciones penales,3778,1928,1850
2010,2. contra la libertad,24203,5553,18650
2010,2.1.-malos tratos habituales en el ambito familiar,10905,2498,8407
2010,2.2.-otros contra la libertad,13298,3055,10243
2010,3. libertad sexual,6234,2143,4091
2010,3.1.-agresion sexual,2793,951,1842
2010,3.2.-agresion sexual con penetracion,1331,509,822
2010,3.3.-corrupcion de menores o incapacitados,226,51,175
2010,3.4.-pornografia de menores,504,39,465
2010,3.5.-otros contra la libertad sexual,1380,593,787
2010,4. relaciones familiares,1093,307,786
2010,5. patrimonio,137368,42321,95047
2010,5.1.-hurtos,33639,13561,20078
2010,5.2.-robos con fuerza en las cosas,50266,11939,38327
2010,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,8455,1785,6670
2010,5.2.2.-robos con fuerza en viviendas,9730,2782,6948
2010,5.2.3.-robos con fuerza en establecimientos,9520,2846,6674
2010,5.3.-robos con violencia o intimidacion,21621,6279,15342
2010,5.3.1.-robos con violencia en via publica,10397,4198,6199
2010,5.3.2.-robos con violencia en viviendas,1280,536,744
2010,5.3.3.-robos con violencia en establecimientos,3368,936,2432
2010,5.4.-sustraccion de vehiculos,7169,1799,5370
2010,5.5.-estafas,8334,2746,5588
2010,5.5.1.-estafas informaticas,1611,583,1028
2010,5.6.-danos,5797,1381,4416
2010,5.7.-contra la propiedad intelectual/industrial,3733,2867,866
2010,5.8.-blanqueo de capitales,296,98,198
2010,5.9.-otros contra el patrimonio,6513,1651,4862
2010,6. seguridad colectiva,60510,17090,43420
2010,6.1.-trafico de drogas,21683,7837,13846
2010,6.2.-contra la seguridad vial,36751,8833,27918
2010,6.3.-otros contra la seguridad colectiva,2076,420,1656
2010,7. falsedades,9541,5335,4206
2010,8. admon. publica,245,33,212
2010,9. admon. justicia,18876,4660,14216
2010,total infracciones penales,351967,108038,243929
2011,1. contra las personas,101176,28182,72994
2011,1.1.-homicidios dolosos/asesinatos,1390,399,991
2011,1.1.1.-homicidios dolosos/asesinatos consumados,451,176,275
2011,1.2.-lesiones,31319,8541,22778
2011,1.3.-malos tratos ambito familiar,51888,16260,35628
2011,1.4.-otros contra las personas,16579,2982,13597
2011,10. orden publico,28116,9322,18794
2011,11. legislacion especial,253,58,195
2011,12. otras infracciones penales,4017,1717,2300
2011,2. contra la libertad,28751,6799,21952
2011,2.1.-malos tratos habituales en el ambito familiar,12164,3011,9153
2011,2.2.-otros contra la libertad,16587,3788,12799
2011,3. libertad sexual,6697,2288,4409
2011,3.1.-agresion sexual,3342,1105,2237
2011,3.2.-agresion sexual con penetracion,1375,534,841
2011,3.3.-corrupcion de menores o incapacitados,213,53,160
2011,3.4.-pornografia de menores,464,43,421
2011,3.5.-otros contra la libertad sexual,1303,553,750
2011,4. relaciones familiares,2560,516,2044
2011,5. patrimonio,184811,54480,130331
2011,5.1.-hurtos,62864,21823,41041
2011,5.2.-robos con fuerza en las cosas,56959,14469,42490
2011,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,11379,2602,8777
2011,5.2.2.-robos con fuerza en viviendas,11082,3654,7428
2011,5.2.3.-robos con fuerza en establecimientos,10064,3103,6961
2011,5.3.-robos con violencia o intimidacion,23075,6814,16261
2011,5.3.1.-robos con violencia en via publica,10452,4276,6176
2011,5.3.2.-robos con violencia en viviendas,1457,581,876
2011,5.3.3.-robos con violencia en establecimientos,3339,882,2457
2011,5.4.-sustraccion de vehiculos,7601,2001,5600
2011,5.5.-estafas,12028,3327,8701
2011,5.5.1.-estafas informaticas,1823,615,1208
2011,5.6.-danos,9955,2115,7840
2011,5.7.-contra la propiedad intelectual/industrial,2136,1447,689
2011,5.8.-blanqueo de capitales,422,184,238
2011,5.9.-otros contra el patrimonio,9771,2300,7471
2011,6. seguridad colectiva,78158,20508,57650
2011,6.1.-trafico de drogas,23610,8145,15465
2011,6.2.-contra la seguridad vial,52460,11838,40622
2011,6.3.-otros contra la seguridad colectiva,2088,525,1563
2011,7. falsedades,11247,6318,4929
2011,8. admon. publica,429,43,386
2011,9. admon. justicia,22038,5268,16770
2011,total infracciones penales,468253,135499,332754
2012,1. contra las personas,97294,25836,71458
2012,1.1.-homicidios dolosos/asesinatos,1325,326,999
2012,1.1.1.-homicidios dolosos/asesinatos consumados,408,140,268
2012,1.2.-lesiones,29942,7667,22275
2012,1.3.-malos tratos ambito familiar,49830,15177,34653
2012,1.4.-otros contra las personas,16197,2666,13531
2012,10. orden publico,26775,8399,18376
2012,11. legislacion especial,228,69,159
2012,12. otras infracciones penales,3884,1625,2259
2012,2. contra la libertad,27943,6126,21817
2012,2.1.-malos tratos habituales en el ambito familiar,11621,2748,8873
2012,2.2.-otros contra la libertad,16322,3378,12944
2012,3. libertad sexual,6250,1995,4255
2012,3.1.-agresion sexual,3202,978,2224
2012,3.2.-agresion sexual con penetracion,1202,447,755
2012,3.3.-corrupcion de menores o incapacitados,201,54,147
2012,3.4.-pornografia de menores,506,38,468
2012,3.5.-otros contra la libertad sexual,1139,478,661
2012,4. relaciones familiares,2926,599,2327
2012,5. patrimonio,189877,53767,136110
2012,5.1.-hurtos,68234,22246,45988
2012,5.2.-robos con fuerza en las cosas,55473,12797,42676
2012,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,10091,2096,7995
2012,5.2.2.-robos con fuerza en viviendas,14494,4269,10225
2012,5.2.3.-robos con fuerza en establecimientos,9653,2653,7000
2012,5.3.-robos con violencia o intimidacion,23475,7058,16417
2012,5.3.1.-robos con violencia en via publica,11235,4680,6555
2012,5.3.2.-robos con violencia en viviendas,1686,604,1082
2012,5.3.3.-robos con violencia en establecimientos,3453,934,2519
2012,5.4.-sustraccion de vehiculos,6808,1787,5021
2012,5.5.-estafas,12548,3308,9240
2012,5.5.1.-estafas informaticas,1978,638,1340
2012,5.6.-danos,9507,2000,7507
2012,5.7.-contra la propiedad intelectual/industrial,2257,1592,665
2012,5.8.-blanqueo de capitales,567,198,369
2012,5.9.-otros contra el patrimonio,11008,2781,8227
2012,6. seguridad colectiva,72976,19199,53777
2012,6.1.-trafico de drogas,22575,7821,14754
2012,6.2.-contra la seguridad vial,48133,10762,37371
2012,6.3.-otros contra la seguridad colectiva,2268,616,1652
2012,7. falsedades,11624,6693,4931
2012,8. admon. publica,274,29,245
2012,9. admon. justicia,20991,4644,16347
2012,total infracciones penales,461042,128981,332061
2013,1. contra las personas,93213,23714,69499
2013,1.1.-homicidios dolosos/asesinatos,1086,250,836
2013,1.1.1.-homicidios dolosos/asesinatos consumados,311,81,230
2013,1.2.-lesiones,28574,7155,21419
2013,1.3.-malos tratos ambito familiar,49079,14046,35033
2013,1.4.-otros contra las personas,14474,2263,12211
2013,10. orden publico,24981,8046,16935
2013,11. legislacion especial,295,81,214
2013,12. otras infracciones penales,4013,1557,2456
2013,2. contra la libertad,27444,6091,21353
2013,2.1.-malos tratos habituales en el ambito familiar,11184,2653,8531
2013,2.2.-otros contra la libertad,16260,3438,12822
2013,3. libertad sexual,5827,1843,3984
2013,3.1.-agresion sexual,2831,855,1976
2013,3.2.-agresion sexual con penetracion,1179,438,741
2013,3.3.-corrupcion de menores o incapacitados,221,48,173
2013,3.4.-pornografia de menores,391,34,357
2013,3.5.-otros contra la libertad sexual,1205,468,737
2013,4. relaciones familiares,2817,516,2301
2013,5. patrimonio,195566,54266,141300
2013,5.1.-hurtos,72864,23045,49819
2013,5.2.-robos con fuerza en las cosas,56230,12827,43403
