ano,agresiones_sexuales_total,homicidios_dolosos_y_asesinatos_consumados,lesiones_graves,malos_tratos_en_el_ambito_familiar,robos_con_violencia_e_intimidacion
2010,4124,397,16137,46479,21621
2011,4717,451,31319,51888,23075
2012,4404,408,29942,49830,23475
2013,4010,311,28574,49079,22152
2014,4251,305,28867,50644,18258
2015,4185,351,27203,49898,15444
2016,4710,333,28184,50743,15417
2017,5077,332,30690,53238,15143
2018,6471,340,31812,55153,15491
2019,7109,363,33570,58600,18253
2020,6413,377,32334,60547,14160
2021,8671,360,38573,65618,15567
2022,9888,375,44431,73876,18478
2023,11392,399,45598,81461,20790
