ano,delito5,total,extranjeros,pct_extranjeros
2010,Agresiones sexuales (total),4124,1460,35.402521823472355
2010,Homicidios dolosos y asesinatos consumados,397,124,31.234256926952146
2010,Lesiones graves,16137,5072,31.43087314866456
2010,Malos tratos en el ámbito familiar,46479,14747,31.728307407646465
2010,Robos con violencia e intimidación,21621,6279,29.041209934785623
2011,Agresiones sexuales (total),4717,1639,34.74666101335595
2011,Homicidios dolosos y asesinatos consumados,451,176,39.02439024390244
2011,Lesiones graves,31319,8541,27.27098566365465
2011,Malos tratos en el ámbito familiar,51888,16260,31.33672525439408
2011,Robos con violencia e intimidación,23075,6814,29.52979414951246
2012,Agresiones sexuales (total),4404,1425,32.356948228882835
2012,Homicidios dolosos y asesinatos consumados,408,140,34.31372549019608
2012,Lesiones graves,29942,7667,25.60617193240265
2012,Malos tratos en el ámbito familiar,49830,15177,30.457555689343767
2012,Robos con violencia e intimidación,23475,7058,30.06602768903088
2013,Agresiones sexuales (total),4010,1293,32.244389027431424
2013,Homicidios dolosos y asesinatos consumados,311,81,26.04501607717042
2013,Lesiones graves,28574,7155,25.04024637782599
2013,Malos tratos en el ámbito familiar,49079,14046,28.619165019662177
2013,Robos con violencia e intimidación,22152,6393,28.859696641386783
2014,Agresiones sexuales (total),4251,1187,27.922841684309574
2014,Homicidios dolosos y asesinatos consumados,305,74,24.262295081967213
2014,Lesiones graves,28867,6363,22.042470641216617
2014,Malos tratos en el ámbito familiar,50644,12801,25.27643945975831
2014,Robos con violencia e intimidación,18258,4643,25.429948515719136
2015,Agresiones sexuales (total),4185,1096,26.188769414575862
2015,Homicidios dolosos y asesinatos consumados,351,91,25.925925925925927
2015,Lesiones graves,27203,5951,21.87626364739183
2015,Malos tratos en el ámbito familiar,49898,12430,24.910818068860475
2015,Robos con violencia e intimidación,15444,3602,23.32297332297332
2016,Agresiones sexuales (total),4710,1253,26.602972399150744
2016,Homicidios dolosos y asesinatos consumados,333,107,32.132132132132135
2016,Lesiones graves,28184,6027,21.384473460119217
2016,Malos tratos en el ámbito familiar,50743,12786,25.197564196046745
2016,Robos con violencia e intimidación,15417,3929,25.484854381526887
2017,Agresiones sexuales (total),5077,1363,26.846562930864685
2017,Homicidios dolosos y asesinatos consumados,332,86,25.903614457831324
2017,Lesiones graves,30690,6802,22.16357119582926
2017,Malos tratos en el ámbito familiar,53238,13814,25.947631391111617
2017,Robos con violencia e intimidación,15143,3701,24.440335468533316
2018,Agresiones sexuales (total),6471,1836,28.372739916550763
2018,Homicidios dolosos y asesinatos consumados,340,93,27.352941176470587
2018,Lesiones graves,31812,7172,22.544951590594746
2018,Malos tratos en el ámbito familiar,55153,14614,26.497198701793195
2018,Robos con violencia e intimidación,15491,4019,25.944096572203215
2019,Agresiones sexuales (total),7109,2066,29.06175270783514
2019,Homicidios dolosos y asesinatos consumados,363,99,27.272727272727273
2019,Lesiones graves,33570,7991,23.80399165921954
2019,Malos tratos en el ámbito familiar,58600,16416,28.013651877133107
2019,Robos con violencia e intimidación,18253,5047,27.65024927409193
2020,Agresiones sexuales (total),6413,2223,34.66396382348355
2020,Homicidios dolosos y asesinatos consumados,377,101,26.79045092838196
2020,Lesiones graves,32334,9300,28.762293560957502
2020,Malos tratos en el ámbito familiar,60547,18595,30.711678530728193
2020,Robos con violencia e intimidación,14160,5941,41.956214689265536
2021,Agresiones sexuales (total),8671,3127,36.062737861838315
2021,Homicidios dolosos y asesinatos consumados,360,112,31.11111111111111
2021,Lesiones graves,38573,10961,28.416249708345216
2021,Malos tratos en el ámbito familiar,65618,20563,31.337437898137708
2021,Robos con violencia e intimidación,15567,6865,44.099698079270254
2022,Agresiones sexuales (total),9888,3680,37.2168284789644
2022,Homicidios dolosos y asesinatos consumados,375,105,28
2022,Lesiones graves,44431,13133,29.558191352884247
2022,Malos tratos en el ámbito familiar,73876,24687,33.416806540689805
2022,Robos con violencia e intimidación,18478,8744,47.3211386513692
2023,Agresiones sexuales (total),11392,4451,39.07127808988764
2023,Homicidios dolosos y asesinatos consumados,399,137,34.335839598997495
2023,Lesiones graves,45598,13538,29.689898679766657
2023,Malos tratos en el ámbito familiar,81461,27806,34.134125532463386
2023,Robos con violencia e intimidación,20790,10553,50.75998075998076
