valor,valor_norm,n
ANDALUCÍA,andalucia,616
ARAGÓN,aragon,616
ASTURIAS (PRINCIPADO DE),asturias (principado de),616
BALEARS (ILLES),balears (illes),616
CANARIAS,canarias,616
CANTABRIA,cantabria,616
CASTILLA - LA MANCHA,castilla - la mancha,616
CASTILLA Y LEÓN,castilla y leon,616
CATALUÑA,cataluna,616
CIUDAD AUTÓNOMA DE CEUTA,ciudad autonoma de ceuta,616
CIUDAD AUTÓNOMA DE MELILLA,ciudad autonoma de melilla,616
COMUNITAT VALENCIANA,comunitat valenciana,616
DESCONOCIDA,desconocida,616
EN EL EXTRANJERO,en el extranjero,616
EXTREMADURA,extremadura,616
GALICIA,galicia,616
MADRID (COMUNIDAD DE),madrid (comunidad de),616
MURCIA (REGIÓN DE),murcia (region de),616
NAVARRA (COMUNIDAD FORAL DE),navarra (comunidad foral de),616
PAÍS VASCO,pais vasco,616
RIOJA (LA),rioja (la),616
TOTAL NACIONAL,total nacional,616
