valor,valor_norm,n
1. CONTRA LAS PERSONAS,1. contra las personas,308
1.1.-Homicidios dolosos/asesinatos,1.1.-homicidios dolosos/asesinatos,308
1.1.1.-Homicidios dolosos/asesinatos consumados,1.1.1.-homicidios dolosos/asesinatos consumados,308
1.2.-Lesiones,1.2.-lesiones,308
1.3.-Malos tratos ámbito familiar,1.3.-malos tratos ambito familiar,308
1.4.-Otros contra las personas,1.4.-otros contra las personas,308
10. ORDEN PÚBLICO,10. orden publico,308
11. LEGISLACIÓN ESPECIAL,11. legislacion especial,308
12. OTRAS INFRACCIONES PENALES,12. otras infracciones penales,308
2. CONTRA LA LIBERTAD,2. contra la libertad,308
2.1.-Malos tratos habituales en el ámbito familiar,2.1.-malos tratos habituales en el ambito familiar,308
2.2.-Otros contra la libertad,2.2.-otros contra la libertad,308
3. LIBERTAD SEXUAL,3. libertad sexual,308
3.1.-Agresión sexual,3.1.-agresion sexual,308
3.2.-Agresión sexual con penetración,3.2.-agresion sexual con penetracion,308
3.3.-Corrupción de menores o incapacitados,3.3.-corrupcion de menores o incapacitados,308
3.4.-Pornografía de menores,3.4.-pornografia de menores,308
3.5.-Otros contra la libertad sexual,3.5.-otros contra la libertad sexual,308
4. RELACIONES FAMILIARES,4. relaciones familiares,308
5. PATRIMONIO,5. patrimonio,308
5.1.-Hurtos,5.1.-hurtos,308
5.2.-Robos con fuerza en las cosas,5.2.-robos con fuerza en las cosas,308
5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,308
5.2.2.-Robos con fuerza en viviendas,5.2.2.-robos con fuerza en viviendas,308
5.2.3.-Robos con fuerza en establecimientos,5.2.3.-robos con fuerza en establecimientos,308
5.3.-Robos con violencia o intimidación,5.3.-robos con violencia o intimidacion,308
5.3.1.-Robos con violencia en vía pública,5.3.1.-robos con violencia en via publica,308
5.3.2.-Robos con violencia en viviendas,5.3.2.-robos con violencia en viviendas,308
5.3.3.-Robos con violencia en establecimientos,5.3.3.-robos con violencia en establecimientos,308
5.4.-Sustracción de vehículos,5.4.-sustraccion de vehiculos,308
5.5.-Estafas,5.5.-estafas,308
5.5.1.-Estafas informáticas,5.5.1.-estafas informaticas,308
5.6.-Daños,5.6.-danos,308
5.7.-Contra la propiedad intelectual/industrial,5.7.-contra la propiedad intelectual/industrial,308
5.8.-Blanqueo de capitales,5.8.-blanqueo de capitales,308
5.9.-Otros contra el patrimonio,5.9.-otros contra el patrimonio,308
6. SEGURIDAD COLECTIVA,6. seguridad colectiva,308
6.1.-Tráfico de drogas,6.1.-trafico de drogas,308
6.2.-Contra la seguridad vial,6.2.-contra la seguridad vial,308
6.3.-Otros contra la seguridad colectiva,6.3.-otros contra la seguridad colectiva,308
7. FALSEDADES,7. falsedades,308
8. ADMÓN. PÚBLICA,8. admon. publica,308
9. ADMÓN. JUSTICIA,9. admon. justicia,308
TOTAL INFRACCIONES PENALES,total infracciones penales,308
