archivo,n_filas,n_cols,n_problems
data/raw/tasas_paro.csv,3666,1,3660
data/raw/arope.csv,1632,1,1581
data/raw/crecimiento_pib.csv,180,1,179
data/raw/epa_activos_16_29_trimestral.csv,168,1,168
data/raw/umbral_pobreza.csv,128,1,128
data/raw/gini.csv,28,1,25
data/raw/detenciones_extranjeros_tipologia.csv,36960,1,0
data/raw/detenciones_tipologia.csv,12320,1,0
data/raw/estat_nama_10_pc_filtered_en.csv,14190,19,0
data/raw/hechos_conocidos.csv,13552,1,0
data/raw/hechos_esclarecidos.csv,13552,1,0
data/raw/poblacion_espana.csv,384480,1,0
diagnostics/acciones_prioritarias.csv,8,3,0
diagnostics/cols_arope.csv,5,1,0
diagnostics/cols_crecimiento_pib.csv,3,1,0
diagnostics/cols_detenciones_extranjeros_tipologia.csv,5,1,0
diagnostics/cols_detenciones_tipologia.csv,4,1,0
diagnostics/cols_epa_activos_16_29_trimestral.csv,5,1,0
diagnostics/cols_estat_nama_10_pc_filtered_en.csv,19,1,0
diagnostics/cols_gini.csv,3,1,0
diagnostics/cols_hechos_conocidos.csv,4,1,0
diagnostics/cols_hechos_esclarecidos.csv,4,1,0
diagnostics/cols_poblacion_espana.csv,5,1,0
diagnostics/cols_tasas_paro.csv,4,1,0
diagnostics/cols_umbral_pobreza.csv,4,1,0
diagnostics/log_io.csv,78,7,0
diagnostics/preview_arope.csv,20,5,0
diagnostics/preview_crecimiento_pib.csv,20,3,0
diagnostics/preview_detenciones_extranjeros_tipologia.csv,20,5,0
diagnostics/preview_detenciones_tipologia.csv,20,4,0
diagnostics/preview_epa_activos_16_29_trimestral.csv,20,5,0
diagnostics/preview_estat_nama_10_pc_filtered_en.csv,20,19,0
diagnostics/preview_gini.csv,20,3,0
diagnostics/preview_hechos_conocidos.csv,20,4,0
diagnostics/preview_hechos_esclarecidos.csv,20,4,0
diagnostics/preview_poblacion_espana.csv,20,5,0
diagnostics/preview_tasas_paro.csv,20,4,0
diagnostics/preview_umbral_pobreza.csv,20,4,0
diagnostics/raw_file_logs.csv,12,4,0
diagnostics/raw_numeric_parse_samples.csv,7,4,0
diagnostics/raw_sep_encoding.csv,12,3,0
diagnostics/read_problems.csv,12,3,0
diagnostics/resumen_raw.csv,12,12,0
diagnostics/uniques_arope.csv,5,3,0
diagnostics/uniques_crecimiento_pib.csv,3,3,0
diagnostics/uniques_detenciones_extranjeros_tipologia.csv,4,3,0
diagnostics/uniques_detenciones_tipologia.csv,3,3,0
diagnostics/uniques_epa_activos_16_29_trimestral.csv,5,3,0
diagnostics/uniques_estat_nama_10_pc_filtered_en.csv,18,3,0
diagnostics/uniques_gini.csv,3,3,0
diagnostics/uniques_hechos_conocidos.csv,3,3,0
diagnostics/uniques_hechos_esclarecidos.csv,3,3,0
diagnostics/uniques_poblacion_espana.csv,4,3,0
diagnostics/uniques_tasas_paro.csv,3,3,0
diagnostics/uniques_umbral_pobreza.csv,4,3,0
output/tables/10_arope_comp_duplicados.csv,0,3,0
output/tables/10_arope_comp_resumen.csv,1,3,0
output/tables/10_arope_total_anos_faltantes.csv,0,1,0
output/tables/10_arope_total_fuera_rango_componentes.csv,0,5,0
output/tables/10_arope_total_resumen.csv,1,3,0
output/tables/12b_meta_origen.csv,1,6,0
output/tables/12b_qc_cobertura_trimestral.csv,28,4,0
output/tables/12b_qc_desviacion_cierre.csv,14,10,0
output/tables/12b_qc_sin_valores.csv,0,4,0
output/tables/12c_qc_resumen.csv,1,4,0
output/tables/12d_units_fix_plan.csv,1,6,0
output/tables/13_qc_cobertura_anual.csv,14,3,0
output/tables/13_qc_core_indicadores_flags.csv,1,6,0
output/tables/13_qc_core_indicadores_hash.csv,1,4,0
