archivo,enc_sug,sep_sug,n_cols,n_probs
data/raw/arope.csv,UTF-8,;,5,0
data/raw/crecimiento_pib.csv,UTF-8,;,3,0
data/raw/detenciones_extranjeros_tipologia.csv,UTF-8,;,5,0
data/raw/detenciones_tipologia.csv,UTF-8,;,4,0
data/raw/epa_activos_16_29_trimestral.csv,UTF-8,;,5,0
data/raw/estat_nama_10_pc_filtered_en.csv,UTF-8,",",19,0
data/raw/gini.csv,UTF-8,;,3,0
data/raw/hechos_conocidos.csv,UTF-8,;,4,0
data/raw/hechos_esclarecidos.csv,UTF-8,;,4,0
data/raw/poblacion_espana.csv,UTF-8,;,5,0
data/raw/tasas_paro.csv,UTF-8,;,4,0
data/raw/umbral_pobreza.csv,UTF-8,;,4,0
diagnostics/acciones_prioritarias.csv,UTF-8,",",3,0
diagnostics/cols_arope.csv,UTF-8,",",1,0
diagnostics/cols_crecimiento_pib.csv,UTF-8,",",1,0
diagnostics/cols_detenciones_extranjeros_tipologia.csv,UTF-8,",",1,0
diagnostics/cols_detenciones_tipologia.csv,UTF-8,",",1,0
diagnostics/cols_epa_activos_16_29_trimestral.csv,UTF-8,",",1,0
diagnostics/cols_estat_nama_10_pc_filtered_en.csv,UTF-8,",",1,0
diagnostics/cols_gini.csv,UTF-8,",",1,0
diagnostics/cols_hechos_conocidos.csv,UTF-8,",",1,0
diagnostics/cols_hechos_esclarecidos.csv,UTF-8,",",1,0
diagnostics/cols_poblacion_espana.csv,UTF-8,",",1,0
diagnostics/cols_tasas_paro.csv,UTF-8,",",1,0
diagnostics/cols_umbral_pobreza.csv,UTF-8,",",1,0
diagnostics/log_io.csv,UTF-8,",",7,0
diagnostics/preview_arope.csv,UTF-8,",",5,0
diagnostics/preview_crecimiento_pib.csv,UTF-8,",",3,0
diagnostics/preview_detenciones_extranjeros_tipologia.csv,UTF-8,",",5,0
diagnostics/preview_detenciones_tipologia.csv,UTF-8,",",4,0
diagnostics/preview_epa_activos_16_29_trimestral.csv,UTF-8,",",5,0
diagnostics/preview_estat_nama_10_pc_filtered_en.csv,UTF-8,",",19,0
diagnostics/preview_gini.csv,UTF-8,",",3,0
diagnostics/preview_hechos_conocidos.csv,UTF-8,",",4,0
diagnostics/preview_hechos_esclarecidos.csv,UTF-8,",",4,0
diagnostics/preview_poblacion_espana.csv,UTF-8,",",5,0
diagnostics/preview_tasas_paro.csv,UTF-8,",",4,0
diagnostics/preview_umbral_pobreza.csv,UTF-8,",",4,0
diagnostics/raw_file_logs.csv,UTF-8,",",4,0
diagnostics/raw_numeric_parse_samples.csv,UTF-8,",",4,0
diagnostics/raw_sep_encoding.csv,UTF-8,",",3,0
diagnostics/read_problems.csv,UTF-8,",",3,0
diagnostics/resumen_raw.csv,UTF-8,",",12,0
diagnostics/uniques_arope.csv,UTF-8,",",3,0
diagnostics/uniques_crecimiento_pib.csv,UTF-8,",",3,0
diagnostics/uniques_detenciones_extranjeros_tipologia.csv,UTF-8,",",3,0
diagnostics/uniques_detenciones_tipologia.csv,UTF-8,",",3,0
diagnostics/uniques_epa_activos_16_29_trimestral.csv,UTF-8,",",3,0
diagnostics/uniques_estat_nama_10_pc_filtered_en.csv,UTF-8,",",3,0
diagnostics/uniques_gini.csv,UTF-8,",",3,0
diagnostics/uniques_hechos_conocidos.csv,UTF-8,",",3,0
diagnostics/uniques_hechos_esclarecidos.csv,UTF-8,",",3,0
diagnostics/uniques_poblacion_espana.csv,UTF-8,",",3,0
diagnostics/uniques_tasas_paro.csv,UTF-8,",",3,0
diagnostics/uniques_umbral_pobreza.csv,UTF-8,",",3,0
output/tables/10_arope_comp_duplicados.csv,UTF-8,",",3,0
output/tables/10_arope_comp_resumen.csv,UTF-8,",",3,0
output/tables/10_arope_total_anos_faltantes.csv,UTF-8,",",1,0
output/tables/10_arope_total_fuera_rango_componentes.csv,UTF-8,",",5,0
output/tables/10_arope_total_resumen.csv,UTF-8,",",3,0
output/tables/12b_meta_origen.csv,UTF-8,",",6,0
output/tables/12b_qc_cobertura_trimestral.csv,UTF-8,",",4,0
output/tables/12b_qc_desviacion_cierre.csv,UTF-8,",",10,0
output/tables/12b_qc_sin_valores.csv,UTF-8,",",4,0
output/tables/12c_qc_resumen.csv,UTF-8,",",4,0
output/tables/12d_units_fix_plan.csv,UTF-8,",",6,0
output/tables/13_qc_cobertura_anual.csv,UTF-8,",",3,0
output/tables/13_qc_core_indicadores_flags.csv,UTF-8,",",6,0
output/tables/13_qc_core_indicadores_hash.csv,UTF-8,",",4,0
output/tables/13_qc_core_indicadores_resumen.csv,UTF-8,",",3,0
output/tables/13_qc_duplicados_clave.csv,UTF-8,",",4,0
output/tables/13_qc_no_negatividad.csv,UTF-8,",",4,0
output/tables/13_qc_summary_checks.csv,UTF-8,",",4,0
output/tables/13_qc_unidades_detectadas.csv,UTF-8,",",2,0
output/tables/14_coherence_anomalies.csv,UTF-8,",",4,0
output/tables/14_coherence_summary.csv,UTF-8,",",3,0
output/tables/14_det_qc_anomalias_yoy.csv,UTF-8,",",3,0
output/tables/14_det_qc_anomalias_yoy_raw.csv,UTF-8,",",3,0
output/tables/14_det_qc_cobertura.csv,UTF-8,",",6,0
output/tables/14_det_qc_fuentes_comparativa.csv,UTF-8,",",9,0
output/tables/14_det_qc_resumen.csv,UTF-8,",",3,0
output/tables/14_det_qc_share.csv,UTF-8,",",8,0
output/tables/14_he_bad_mapping_rows.csv,UTF-8,",",10,0
output/tables/14_he_cov_years.csv,UTF-8,",",2,0
output/tables/14_he_coverage_years.csv,UTF-8,",",3,0
output/tables/14_he_dups_keys.csv,UTF-8,",",4,0
output/tables/14_he_nacional_vs_sum_ccaa.csv,UTF-8,",",7,0
output/tables/14_he_summary_checks.csv,UTF-8,",",4,0
output/tables/14_he_unit_detection.csv,UTF-8,",",4,0
output/tables/14_he_vs_hc_fullcheck.csv,UTF-8,",",6,0
output/tables/14_he_vs_hc_violaciones.csv,UTF-8,",",6,0
output/tables/14c_whitelist_diff.csv,UTF-8,",",3,0
output/tables/16_det_ext_cobertura.csv,UTF-8,",",6,0
output/tables/16_det_ext_cobertura_por_tipo.csv,UTF-8,",",4,0
output/tables/16_det_ext_consistencia.csv,UTF-8,",",5,0
output/tables/16_det_ext_diag_sexo_vs_total.csv,UTF-8,",",4,0
output/tables/16_det_ext_plaus_yoy.csv,UTF-8,",",5,0
output/tables/16_det_ext_sexo_total_vs_suma.csv,UTF-8,",",6,0
output/tables/16_det_ext_share_qc.csv,UTF-8,",",3,0
output/tables/16_det_ext_vs_suma.csv,UTF-8,",",5,0
output/tables/17_pib_qa_cobertura.csv,UTF-8,",",6,0
output/tables/17_pib_qa_filtros.csv,UTF-8,",",4,0
output/tables/17_pib_qa_unidades_dispon.csv,UTF-8,",",1,0
output/tables/18_columns_core.csv,UTF-8,",",2,0
output/tables/18_gini_qa_cobertura.csv,UTF-8,",",4,0
output/tables/18_gini_qa_cols.csv,UTF-8,",",3,0
output/tables/18_gini_qa_rango.csv,UTF-8,",",3,0
output/tables/18_stationarity.csv,UTF-8,",",14,0
output/tables/18_stationarity_summary.csv,UTF-8,",",13,0
output/tables/18_stationarity_summary_table.csv,UTF-8,",",7,0
output/tables/18_stationarity_summary_table_a10.csv,UTF-8,",",7,0
output/tables/99_diag_he_mayor_hc_fuera_whitelist.csv,UTF-8,",",9,0
output/tables/99_qc_master_resumen.csv,UTF-8,",",2,0
output/tables/cov_poblacion_15_29.csv,UTF-8,",",5,0
output/tables/cov_poblacion_15_29_criticos.csv,UTF-8,",",4,0
output/tables/cov_poblacion_16_29_aprox.csv,UTF-8,",",3,0
output/tables/cov_poblacion_column_profile.csv,UTF-8,",",3,0
output/tables/cov_poblacion_uniques_sample.csv,UTF-8,",",4,0
output/tables/inspect_cols_epa_activos_16_29_trimestral.csv,UTF-8,",",1,0
output/tables/inspect_cols_hechos_conocidos.csv,UTF-8,",",1,0
output/tables/inspect_cols_hechos_conocidos_total_nacional_HCref.csv,UTF-8,",",1,0
output/tables/inspect_cols_hechos_esclarecidos_HE.csv,UTF-8,",",1,0
output/tables/inspect_cols_map_regiones_maps.csv,UTF-8,",",1,0
output/tables/inspect_cols_map_tipologias_maps.csv,UTF-8,",",1,0
output/tables/inspect_cols_qa_excepciones_he_vs_hc_whitelist.csv,UTF-8,",",1,0
output/tables/inspect_cols_tasas_paro.csv,UTF-8,",",1,0
output/tables/inspect_profile_epa_activos_16_29_trimestral.csv,UTF-8,",",6,0
output/tables/inspect_profile_hechos_conocidos.csv,UTF-8,",",6,0
output/tables/inspect_profile_hechos_conocidos_total_nacional_HCref.csv,UTF-8,",",6,0
output/tables/inspect_profile_hechos_esclarecidos_HE.csv,UTF-8,",",6,0
output/tables/inspect_profile_map_regiones_maps.csv,UTF-8,",",6,0
output/tables/inspect_profile_map_tipologias_maps.csv,UTF-8,",",6,0
output/tables/inspect_profile_qa_excepciones_he_vs_hc_whitelist.csv,UTF-8,",",6,0
output/tables/inspect_profile_tasas_paro.csv,UTF-8,",",6,0
output/tables/inspect_uniques_epa_activos_16_29_trimestral.csv,UTF-8,",",2,0
output/tables/inspect_uniques_hechos_conocidos.csv,UTF-8,",",2,0
output/tables/inspect_uniques_hechos_conocidos_total_nacional_HCref.csv,UTF-8,",",2,0
output/tables/inspect_uniques_hechos_esclarecidos_HE.csv,UTF-8,",",2,0
output/tables/inspect_uniques_map_regiones_maps.csv,UTF-8,",",2,0
output/tables/inspect_uniques_map_tipologias_maps.csv,UTF-8,",",2,0
output/tables/inspect_uniques_qa_excepciones_he_vs_hc_whitelist.csv,UTF-8,",",2,0
output/tables/inspect_uniques_tasas_paro.csv,UTF-8,",",2,0
output/tables/qa_audit_folder_reads.csv,UTF-8,",",4,0
output/tables/qa_coherencia_he_mayor_que_hc.csv,UTF-8,",",5,0
output/tables/qa_core_indicadores.csv,UTF-8,",",7,0
output/tables/qa_core_pib.csv,UTF-8,",",6,0
output/tables/qa_det_tot_cobertura.csv,UTF-8,",",6,0
output/tables/qa_det_tot_cobertura_por_tipo.csv,UTF-8,",",4,0
output/tables/qa_det_tot_plaus_yoy.csv,UTF-8,",",5,0
output/tables/qa_hc13b_origen.csv,UTF-8,",",4,0
output/tables/qa_hc_cobertura.csv,UTF-8,",",6,0
output/tables/qa_hc_cobertura_por_tipo.csv,UTF-8,",",4,0
output/tables/qa_hc_origen_total_infracciones.csv,UTF-8,",",4,0
output/tables/qa_he_cobertura.csv,UTF-8,",",6,0
output/tables/qa_he_cobertura_por_tipo.csv,UTF-8,",",4,0
output/tables/qa_he_vs_hc_diagnostico.csv,UTF-8,",",9,0
output/tables/qa_map_regiones_duplicados.csv,UTF-8,",",2,0
output/tables/qa_map_regiones_fuera_catalogo.csv,UTF-8,",",1,0
output/tables/qa_map_regiones_fuera_catalogo_detalle.csv,UTF-8,",",3,0
output/tables/qa_map_regiones_variantes_por_ccaa.csv,UTF-8,",",2,0
output/tables/qa_map_tipologias_duplicados.csv,UTF-8,",",2,0
output/tables/qa_raw_anos_fuera_2010_2023.csv,UTF-8,",",13,0
output/tables/qa_sugerencia_whitelist.csv,UTF-8,",",2,0
output/tables/qa_summary_checks.csv,UTF-8,",",4,0
output/tables/qa_summary_checks_map_regiones.csv,UTF-8,",",4,0
output/tables/qc_epa_activos_cobertura.csv,UTF-8,",",4,0
output/tables/qc_epa_periodo_edad_sexo_unique_sample.csv,UTF-8,",",3,0
output/tables/qc_paro_bins_cobertura.csv,UTF-8,",",4,0
output/tables/qc_paro_cobertura_anual_15_29.csv,UTF-8,",",4,0
output/tables/qc_paro_join_matrix.csv,UTF-8,",",5,0
output/tables/qc_paro_parse_periodo_samples.csv,UTF-8,",",3,0
output/tables/qc_paro_pesos_adj.csv,UTF-8,",",3,0
output/tables/qc_paro_rates_year.csv,UTF-8,",",4,0
output/tables/tokens_total_global.csv,UTF-8,",",2,0
output/tables/tokens_total_universo_util.csv,UTF-8,",",2,0
