tipo,n_years,complete,missing_list
1. contra las personas,14,1,NA
1.1.-homicidios dolosos/asesinatos,14,1,NA
1.1.1.-homicidios dolosos/asesinatos consumados,14,1,NA
1.2.-lesiones,14,1,NA
1.3.-malos tratos ambito familiar,14,1,NA
1.4.-otros contra las personas,14,1,NA
10. orden publico,14,1,NA
11. legislacion especial,14,1,NA
12. otras infracciones penales,14,1,NA
2. contra la libertad,14,1,NA
2.1.-malos tratos habituales en el ambito familiar,14,1,NA
2.2.-otros contra la libertad,14,1,NA
3. libertad sexual,14,1,NA
3.1.-agresion sexual,14,1,NA
3.2.-agresion sexual con penetracion,14,1,NA
3.3.-corrupcion de menores o incapacitados,14,1,NA
3.4.-pornografia de menores,14,1,NA
3.5.-otros contra la libertad sexual,14,1,NA
4. relaciones familiares,14,1,NA
5. patrimonio,14,1,NA
5.1.-hurtos,14,1,NA
5.2.-robos con fuerza en las cosas,14,1,NA
5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,14,1,NA
5.2.2.-robos con fuerza en viviendas,14,1,NA
5.2.3.-robos con fuerza en establecimientos,14,1,NA
5.3.-robos con violencia o intimidacion,14,1,NA
5.3.1.-robos con violencia en via publica,14,1,NA
5.3.2.-robos con violencia en viviendas,14,1,NA
5.3.3.-robos con violencia en establecimientos,14,1,NA
5.4.-sustraccion de vehiculos,14,1,NA
5.5.-estafas,14,1,NA
5.5.1.-estafas informaticas,14,1,NA
5.6.-danos,14,1,NA
5.7.-contra la propiedad intelectual/industrial,14,1,NA
5.8.-blanqueo de capitales,14,1,NA
5.9.-otros contra el patrimonio,14,1,NA
6. seguridad colectiva,14,1,NA
6.1.-trafico de drogas,14,1,NA
6.2.-contra la seguridad vial,14,1,NA
6.3.-otros contra la seguridad colectiva,14,1,NA
7. falsedades,14,1,NA
8. admon. publica,14,1,NA
9. admon. justicia,14,1,NA
total infracciones penales,14,1,NA
