tipo,n_years,complete,missing_list
1. CONTRA LAS PERSONAS,14,1,NA
1.1.-Homicidios dolosos/asesinatos,14,1,NA
1.1.1.-Homicidios dolosos/asesinatos consumados,14,1,NA
1.2.-Lesiones,14,1,NA
1.3.-Malos tratos ámbito familiar,14,1,NA
1.4.-Otros contra las personas,14,1,NA
10. ORDEN PÚBLICO,14,1,NA
11. LEGISLACIÓN ESPECIAL,14,1,NA
12. OTRAS INFRACCIONES PENALES,14,1,NA
2. CONTRA LA LIBERTAD,14,1,NA
2.1.-Malos tratos habituales en el ámbito familiar,14,1,NA
2.2.-Otros contra la libertad,14,1,NA
3. LIBERTAD SEXUAL,14,1,NA
3.1.-Agresión sexual,14,1,NA
3.2.-Agresión sexual con penetración,14,1,NA
3.3.-Corrupción de menores o incapacitados,14,1,NA
3.4.-Pornografía de menores,14,1,NA
3.5.-Otros contra la libertad sexual,14,1,NA
4. RELACIONES FAMILIARES,14,1,NA
5. PATRIMONIO,14,1,NA
5.1.-Hurtos,14,1,NA
5.2.-Robos con fuerza en las cosas,14,1,NA
5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,14,1,NA
5.2.2.-Robos con fuerza en viviendas,14,1,NA
5.2.3.-Robos con fuerza en establecimientos,14,1,NA
5.3.-Robos con violencia o intimidación,14,1,NA
5.3.1.-Robos con violencia en vía pública,14,1,NA
5.3.2.-Robos con violencia en viviendas,14,1,NA
5.3.3.-Robos con violencia en establecimientos,14,1,NA
5.4.-Sustracción de vehículos,14,1,NA
5.5.-Estafas,14,1,NA
5.5.1.-Estafas informáticas,14,1,NA
5.6.-Daños,14,1,NA
5.7.-Contra la propiedad intelectual/industrial,14,1,NA
5.8.-Blanqueo de capitales,14,1,NA
5.9.-Otros contra el patrimonio,14,1,NA
6. SEGURIDAD COLECTIVA,14,1,NA
6.1.-Tráfico de drogas,14,1,NA
6.2.-Contra la seguridad vial,14,1,NA
6.3.-Otros contra la seguridad colectiva,14,1,NA
7. FALSEDADES,14,1,NA
8. ADMÓN. PÚBLICA,14,1,NA
9. ADMÓN. JUSTICIA,14,1,NA
TOTAL INFRACCIONES PENALES,14,1,NA
