propuesta_region,raw_region,n
alemania,Alemania,1
apatridas,Apátridas,1
argelia,Argelia,1
argentina,Argentina,1
bangladesh,Bangladesh,1
belgica,Bélgica,1
bolivia,Bolivia,1
brasil,Brasil,1
bulgaria,Bulgaria,1
canada,Canadá,1
chile,Chile,1
china,China,1
colombia,Colombia,1
cuba,Cuba,1
de africa,De Africa,1
de america del norte,De América del Norte,1
de asia,De Asia,1
de centro america y caribe,De Centro América y Caribe,1
de oceania,De Oceanía,1
de sudamerica,De Sudamérica,1
dinamarca,Dinamarca,1
ecuador,Ecuador,1
en el extranjero,EN EL EXTRANJERO,1
espanola,Española,1
estados unidos de america,Estados Unidos de América,1
extranjera,Extranjera,1
filipinas,Filipinas,1
finlandia,Finlandia,1
francia,Francia,1
gambia,Gambia,1
ghana,Ghana,1
guinea,Guinea,1
guinea ecuatorial,Guinea Ecuatorial,1
honduras,Honduras,1
india,India,1
irlanda,Irlanda,1
italia,Italia,1
lituania,Lituania,1
mali,Mali,1
marruecos,Marruecos,1
mauritania,Mauritania,1
mexico,México,1
moldavia,Moldavia,1
nicaragua,Nicaragua,1
nigeria,Nigeria,1
noruega,Noruega,1
otro pais de africa,Otro país de África,1
otro pais de asia,Otro país de Asia,1
otro pais de la union europea sin espana,Otro país de la Unión Europea sin España,1
otro pais de sudamerica,Otro país de Sudamérica,1
otro pais del resto de europa,Otro país del resto de Europa,1
otros paises de centro america y caribe,Otros países de Centro América y Caribe,1
pais de europa menos ue27_2020,País de Europa menos UE27_2020,1
pais de europa menos ue28,País de Europa menos UE28,1
pais de la ue27_2020 sin espana,País de la UE27_2020 sin España,1
pais de la ue28 sin espana,País de la UE28 sin España,1
paises bajos,Países Bajos,1
pakistan,Pakistán,1
paraguay,Paraguay,1
peru,Perú,1
polonia,Polonia,1
portugal,Portugal,1
reino unido,Reino Unido,1
republica dominicana,República Dominicana,1
rumania,Rumanía,1
rusia,Rusia,1
senegal,Senegal,1
suecia,Suecia,1
suiza,Suiza,1
total,Total,1
total nacional,TOTAL NACIONAL,1
total nacional,Total Nacional,1
ucrania,Ucrania,1
uruguay,Uruguay,1
venezuela,Venezuela,1
