ano,edad_band,trimestre,presente
2010,16-19,1,TRUE
2010,16-19,2,TRUE
2010,16-19,3,TRUE
2010,16-19,4,TRUE
2010,20-24,1,TRUE
2010,20-24,2,TRUE
2010,20-24,3,TRUE
2010,20-24,4,TRUE
2010,25-29,1,TRUE
2010,25-29,2,TRUE
2010,25-29,3,TRUE
2010,25-29,4,TRUE
2011,16-19,1,TRUE
2011,16-19,2,TRUE
2011,16-19,3,TRUE
2011,16-19,4,TRUE
2011,20-24,1,TRUE
2011,20-24,2,TRUE
2011,20-24,3,TRUE
2011,20-24,4,TRUE
2011,25-29,1,TRUE
2011,25-29,2,TRUE
2011,25-29,3,TRUE
2011,25-29,4,TRUE
2012,16-19,1,TRUE
2012,16-19,2,TRUE
2012,16-19,3,TRUE
2012,16-19,4,TRUE
2012,20-24,1,TRUE
2012,20-24,2,TRUE
2012,20-24,3,TRUE
2012,20-24,4,TRUE
2012,25-29,1,TRUE
2012,25-29,2,TRUE
2012,25-29,3,TRUE
2012,25-29,4,TRUE
2013,16-19,1,TRUE
2013,16-19,2,TRUE
2013,16-19,3,TRUE
2013,16-19,4,TRUE
2013,20-24,1,TRUE
2013,20-24,2,TRUE
2013,20-24,3,TRUE
2013,20-24,4,TRUE
2013,25-29,1,TRUE
2013,25-29,2,TRUE
2013,25-29,3,TRUE
2013,25-29,4,TRUE
2014,16-19,1,TRUE
2014,16-19,2,TRUE
2014,16-19,3,TRUE
2014,16-19,4,TRUE
2014,20-24,1,TRUE
2014,20-24,2,TRUE
2014,20-24,3,TRUE
2014,20-24,4,TRUE
2014,25-29,1,TRUE
2014,25-29,2,TRUE
2014,25-29,3,TRUE
2014,25-29,4,TRUE
2015,16-19,1,TRUE
2015,16-19,2,TRUE
2015,16-19,3,TRUE
2015,16-19,4,TRUE
2015,20-24,1,TRUE
2015,20-24,2,TRUE
2015,20-24,3,TRUE
2015,20-24,4,TRUE
2015,25-29,1,TRUE
2015,25-29,2,TRUE
2015,25-29,3,TRUE
2015,25-29,4,TRUE
2016,16-19,1,TRUE
2016,16-19,2,TRUE
2016,16-19,3,TRUE
2016,16-19,4,TRUE
2016,20-24,1,TRUE
2016,20-24,2,TRUE
2016,20-24,3,TRUE
2016,20-24,4,TRUE
2016,25-29,1,TRUE
2016,25-29,2,TRUE
2016,25-29,3,TRUE
2016,25-29,4,TRUE
2017,16-19,1,TRUE
2017,16-19,2,TRUE
2017,16-19,3,TRUE
2017,16-19,4,TRUE
2017,20-24,1,TRUE
2017,20-24,2,TRUE
2017,20-24,3,TRUE
2017,20-24,4,TRUE
2017,25-29,1,TRUE
2017,25-29,2,TRUE
2017,25-29,3,TRUE
2017,25-29,4,TRUE
2018,16-19,1,TRUE
2018,16-19,2,TRUE
2018,16-19,3,TRUE
2018,16-19,4,TRUE
2018,20-24,1,TRUE
2018,20-24,2,TRUE
2018,20-24,3,TRUE
2018,20-24,4,TRUE
2018,25-29,1,TRUE
2018,25-29,2,TRUE
2018,25-29,3,TRUE
2018,25-29,4,TRUE
2019,16-19,1,TRUE
2019,16-19,2,TRUE
2019,16-19,3,TRUE
2019,16-19,4,TRUE
2019,20-24,1,TRUE
2019,20-24,2,TRUE
2019,20-24,3,TRUE
2019,20-24,4,TRUE
2019,25-29,1,TRUE
2019,25-29,2,TRUE
2019,25-29,3,TRUE
2019,25-29,4,TRUE
2020,16-19,1,TRUE
2020,16-19,2,TRUE
2020,16-19,3,TRUE
2020,16-19,4,TRUE
2020,20-24,1,TRUE
2020,20-24,2,TRUE
2020,20-24,3,TRUE
2020,20-24,4,TRUE
2020,25-29,1,TRUE
2020,25-29,2,TRUE
2020,25-29,3,TRUE
2020,25-29,4,TRUE
2021,16-19,1,TRUE
2021,16-19,2,TRUE
2021,16-19,3,TRUE
2021,16-19,4,TRUE
2021,20-24,1,TRUE
2021,20-24,2,TRUE
2021,20-24,3,TRUE
2021,20-24,4,TRUE
2021,25-29,1,TRUE
2021,25-29,2,TRUE
2021,25-29,3,TRUE
2021,25-29,4,TRUE
2022,16-19,1,TRUE
2022,16-19,2,TRUE
2022,16-19,3,TRUE
2022,16-19,4,TRUE
2022,20-24,1,TRUE
2022,20-24,2,TRUE
2022,20-24,3,TRUE
2022,20-24,4,TRUE
2022,25-29,1,TRUE
2022,25-29,2,TRUE
2022,25-29,3,TRUE
2022,25-29,4,TRUE
2023,16-19,1,TRUE
2023,16-19,2,TRUE
2023,16-19,3,TRUE
2023,16-19,4,TRUE
2023,20-24,1,TRUE
2023,20-24,2,TRUE
2023,20-24,3,TRUE
2023,20-24,4,TRUE
2023,25-29,1,TRUE
2023,25-29,2,TRUE
2023,25-29,3,TRUE
2023,25-29,4,TRUE
