ano,paro_15_29,metodo,presente
2010,37.447825977640946,ponderado,TRUE
2011,40.88814006826856,ponderado,TRUE
2012,47.5012226583187,ponderado,TRUE
2013,49.817603613456015,ponderado,TRUE
2014,47.021067685735886,ponderado,TRUE
2015,44.23111766054698,ponderado,TRUE
2016,40.35349424936562,ponderado,TRUE
2017,35.926248140674545,ponderado,TRUE
2018,32.24982026342606,ponderado,TRUE
2019,30.10717126596086,ponderado,TRUE
2020,36.078194573620614,ponderado,TRUE
2021,33.7132933400969,ponderado,TRUE
2022,28.14816682489508,ponderado,TRUE
2023,27.063685519287,ponderado,TRUE
