edad,sexo,periodo
Total,Ambos sexos,2025T2
Total,Ambos sexos,2025T1
Total,Ambos sexos,2024T4
Total,Ambos sexos,2024T3
Total,Ambos sexos,2024T2
Total,Ambos sexos,2024T1
Total,Ambos sexos,2023T4
Total,Ambos sexos,2023T3
Total,Ambos sexos,2023T2
Total,Ambos sexos,2023T1
Total,Ambos sexos,2022T4
Total,Ambos sexos,2022T3
Total,Ambos sexos,2022T2
Total,Ambos sexos,2022T1
Total,Ambos sexos,2021T4
Total,Ambos sexos,2021T3
Total,Ambos sexos,2021T2
Total,Ambos sexos,2021T1
Total,Ambos sexos,2020T4
Total,Ambos sexos,2020T3
Total,Ambos sexos,2020T2
Total,Ambos sexos,2020T1
Total,Ambos sexos,2019T4
Total,Ambos sexos,2019T3
Total,Ambos sexos,2019T2
Total,Ambos sexos,2019T1
Total,Ambos sexos,2018T4
Total,Ambos sexos,2018T3
Total,Ambos sexos,2018T2
Total,Ambos sexos,2018T1
Total,Ambos sexos,2017T4
Total,Ambos sexos,2017T3
Total,Ambos sexos,2017T2
Total,Ambos sexos,2017T1
Total,Ambos sexos,2016T4
Total,Ambos sexos,2016T3
Total,Ambos sexos,2016T2
Total,Ambos sexos,2016T1
Total,Ambos sexos,2015T4
Total,Ambos sexos,2015T3
Total,Ambos sexos,2015T2
Total,Ambos sexos,2015T1
Total,Ambos sexos,2014T4
Total,Ambos sexos,2014T3
Total,Ambos sexos,2014T2
Total,Ambos sexos,2014T1
Total,Ambos sexos,2013T4
Total,Ambos sexos,2013T3
Total,Ambos sexos,2013T2
Total,Ambos sexos,2013T1
Total,Ambos sexos,2012T4
Total,Ambos sexos,2012T3
Total,Ambos sexos,2012T2
Total,Ambos sexos,2012T1
Total,Ambos sexos,2011T4
Total,Ambos sexos,2011T3
Total,Ambos sexos,2011T2
Total,Ambos sexos,2011T1
Total,Ambos sexos,2010T4
Total,Ambos sexos,2010T3
Total,Ambos sexos,2010T2
Total,Ambos sexos,2010T1
Total,Ambos sexos,2009T4
Total,Ambos sexos,2009T3
Total,Ambos sexos,2009T2
Total,Ambos sexos,2009T1
Total,Ambos sexos,2008T4
Total,Ambos sexos,2008T3
Total,Ambos sexos,2008T2
Total,Ambos sexos,2008T1
Total,Ambos sexos,2007T4
Total,Ambos sexos,2007T3
Total,Ambos sexos,2007T2
Total,Ambos sexos,2007T1
Total,Ambos sexos,2006T4
Total,Ambos sexos,2006T3
Total,Ambos sexos,2006T2
Total,Ambos sexos,2006T1
Total,Ambos sexos,2005T4
Total,Ambos sexos,2005T3
Total,Ambos sexos,2005T2
Total,Ambos sexos,2005T1
Total,Ambos sexos,2004T4
Total,Ambos sexos,2004T3
Total,Ambos sexos,2004T2
Total,Ambos sexos,2004T1
Total,Ambos sexos,2003T4
Total,Ambos sexos,2003T3
Total,Ambos sexos,2003T2
Total,Ambos sexos,2003T1
Total,Ambos sexos,2002T4
Total,Ambos sexos,2002T3
Total,Ambos sexos,2002T2
Total,Ambos sexos,2002T1
Total,Hombres,2025T2
Total,Hombres,2025T1
Total,Hombres,2024T4
Total,Hombres,2024T3
Total,Hombres,2024T2
Total,Hombres,2024T1
Total,Hombres,2023T4
Total,Hombres,2023T3
Total,Hombres,2023T2
Total,Hombres,2023T1
Total,Hombres,2022T4
Total,Hombres,2022T3
Total,Hombres,2022T2
Total,Hombres,2022T1
Total,Hombres,2021T4
Total,Hombres,2021T3
Total,Hombres,2021T2
Total,Hombres,2021T1
Total,Hombres,2020T4
Total,Hombres,2020T3
Total,Hombres,2020T2
Total,Hombres,2020T1
Total,Hombres,2019T4
Total,Hombres,2019T3
Total,Hombres,2019T2
Total,Hombres,2019T1
Total,Hombres,2018T4
Total,Hombres,2018T3
Total,Hombres,2018T2
Total,Hombres,2018T1
Total,Hombres,2017T4
Total,Hombres,2017T3
Total,Hombres,2017T2
Total,Hombres,2017T1
Total,Hombres,2016T4
Total,Hombres,2016T3
Total,Hombres,2016T2
Total,Hombres,2016T1
Total,Hombres,2015T4
Total,Hombres,2015T3
Total,Hombres,2015T2
Total,Hombres,2015T1
Total,Hombres,2014T4
Total,Hombres,2014T3
Total,Hombres,2014T2
Total,Hombres,2014T1
Total,Hombres,2013T4
Total,Hombres,2013T3
Total,Hombres,2013T2
Total,Hombres,2013T1
Total,Hombres,2012T4
Total,Hombres,2012T3
Total,Hombres,2012T2
Total,Hombres,2012T1
Total,Hombres,2011T4
Total,Hombres,2011T3
Total,Hombres,2011T2
Total,Hombres,2011T1
Total,Hombres,2010T4
Total,Hombres,2010T3
Total,Hombres,2010T2
Total,Hombres,2010T1
Total,Hombres,2009T4
Total,Hombres,2009T3
Total,Hombres,2009T2
Total,Hombres,2009T1
Total,Hombres,2008T4
Total,Hombres,2008T3
Total,Hombres,2008T2
Total,Hombres,2008T1
Total,Hombres,2007T4
Total,Hombres,2007T3
Total,Hombres,2007T2
Total,Hombres,2007T1
Total,Hombres,2006T4
Total,Hombres,2006T3
Total,Hombres,2006T2
Total,Hombres,2006T1
Total,Hombres,2005T4
Total,Hombres,2005T3
Total,Hombres,2005T2
Total,Hombres,2005T1
Total,Hombres,2004T4
Total,Hombres,2004T3
Total,Hombres,2004T2
Total,Hombres,2004T1
Total,Hombres,2003T4
Total,Hombres,2003T3
Total,Hombres,2003T2
Total,Hombres,2003T1
Total,Hombres,2002T4
Total,Hombres,2002T3
Total,Hombres,2002T2
Total,Hombres,2002T1
Total,Mujeres,2025T2
Total,Mujeres,2025T1
Total,Mujeres,2024T4
Total,Mujeres,2024T3
Total,Mujeres,2024T2
Total,Mujeres,2024T1
Total,Mujeres,2023T4
Total,Mujeres,2023T3
Total,Mujeres,2023T2
Total,Mujeres,2023T1
Total,Mujeres,2022T4
Total,Mujeres,2022T3
