ano,edad_band,n_trimestres,tasa_anual
2010,16-19,4,61.3375
2010,20-24,4,36.8875
2010,25-29,4,24.6975
2011,16-19,4,64.34
2011,20-24,4,42.34
2011,25-29,4,26.3125
2012,16-19,4,72.6
2012,20-24,4,48.875
2012,25-29,4,31.5075
2013,16-19,4,74.0775
2013,20-24,4,51.77
2013,25-29,4,33.2525
2014,16-19,4,68.63499999999999
2014,20-24,4,50.3175
2014,25-29,4,30.3225
2015,16-19,4,67.4075
2015,20-24,4,44.6025
2015,25-29,4,28.5
2016,16-19,4,60.25
2016,20-24,4,41.4225
2016,25-29,4,25.595
2017,16-19,4,54.8325
2017,20-24,4,35.29
2017,25-29,4,22.97
2018,16-19,4,50.0275
2018,20-24,4,31.055
2018,25-29,4,20.3575
2019,16-19,4,45.3925
2019,20-24,4,29.805
2019,25-29,4,18.985
2020,16-19,4,54.465
2020,20-24,4,35.1775
2020,25-29,4,22.92
2021,16-19,4,51.7625
2021,20-24,4,31.8325
2021,25-29,4,21.675
2022,16-19,4,44.9075
2022,20-24,4,26.3375
2022,25-29,4,16.7425
2023,16-19,4,43.2675
2023,20-24,4,25.665
2023,25-29,4,15.7025
