token,n
NA,66
2139358,1
2143702,1
2149931,1
2151610,1
2163423,1
2165376,1
2179618,1
2182173,1
2195137,1
2199412,1
2213053,1
2213625,1
2228087,1
2229631,1
2245881,1
2251342,1
2254710,1
2260409,1
2261320,1
2264337,1
2265014,1
2269022,1
2281042,1
2281187,1
2283712,1
2300308,1
2307103,1
2317402,1
2322655,1
2339329,1
2346337,1
2348774,1
2359375,1
2376512,1
2377248,1
2377665,1
2378969,1
2382307,1
2392816,1
2400952,1
2407770,1
2412230,1
2417282,1
2427552,1
2430409,1
2436768,1
2445358,1
2448982,1
2455400,1
